Lot_color	dist	percent	value	order
R	narrow	0	1	2
R	narrow	10	1	2
R	narrow	20	1	2
R	narrow	30	1	2
R	narrow	40	1	2
R	narrow	50	1	2
R	narrow	60	1	2
R	narrow	70	1	2
R	narrow	80	1	2
R	narrow	90	1	2
R	narrow	100	1	2
G	skew	0	0	3
G	skew	10	0	3
G	skew	20	0	3
G	skew	30	0	3
G	skew	40	0	3
G	skew	50	3	3
G	skew	60	3	3
G	skew	70	3	3
G	skew	80	4	3
G	skew	90	4	3
G	skew	100	0	3
B	wide	0	2	1
B	wide	10	2	1
B	wide	20	2	1
B	wide	30	0	1
B	wide	40	0	1
B	wide	50	2	1
B	wide	60	2	1
B	wide	70	2	1
B	wide	80	0	1
B	wide	90	0	1
B	wide	100	3	1
