Lot_color	dist	percent	value	order
R	narrow	0	0	2
R	narrow	10	0	2
R	narrow	20	0	2
R	narrow	30	0	2
R	narrow	40	0	2
R	narrow	50	4	2
R	narrow	60	3	2
R	narrow	70	9	2
R	narrow	80	2	2
R	narrow	90	2	2
R	narrow	100	0	2
G	wide	0	0	3
G	wide	10	0	3
G	wide	20	0	3
G	wide	30	2	3
G	wide	40	0	3
G	wide	50	0	3
G	wide	60	2	3
G	wide	70	2	3
G	wide	80	1	3
G	wide	90	1	3
G	wide	100	0	3
B	skew	0	2	1
B	skew	10	1	1
B	skew	20	0	1
B	skew	30	2	1
B	skew	40	0	1
B	skew	50	0	1
B	skew	60	1	1
B	skew	70	2	1
B	skew	80	2	1
B	skew	90	2	1
B	skew	100	2	1
