Blocktype	tnum	rt	color	winprob	Amb	choice	dist	side	response
Ambiguity	0	2356	blue	0.5	[0.25,0.75]	risk	wide	right	j
Ambiguity	1	2365	blue	0.38	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	2	2031	blue	0.44	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	3	1927	blue	0.49	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	4	1103	blue	0.61	[0.25,0.75]	risk	wide	left	f
Ambiguity	5	901	blue	0.55	[0.25,0.75]	risk	wide	right	j
Ambiguity	6	1035	blue	0.47	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	7	1685	blue	0.5	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	8	758	blue	0.57	[0.25,0.75]	risk	wide	left	f
Ambiguity	9	664	blue	0.52	[0.25,0.75]	risk	wide	left	f
Ambiguity	10	1256	blue	0.48	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	11	1082	blue	0.49	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	12	828	blue	0.53	[0.25,0.75]	risk	wide	left	f
Ambiguity	13	785	blue	0.49	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	14	1111	blue	0.49	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	15	1113	blue	0.5	[0,1]	Ambiguous	wide	right	f
Ambiguity	16	707	blue	0.59	[0,1]	risk	wide	left	f
Ambiguity	17	785	blue	0.54	[0,1]	risk	wide	right	j
Ambiguity	18	1337	blue	0.47	[0,1]	Ambiguous	wide	right	f
Ambiguity	19	2506	blue	0.5	[0,1]	risk	wide	left	f
Ambiguity	20	853	blue	0.48	[0,1]	Ambiguous	wide	left	j
Ambiguity	21	1056	blue	0.5	[0,1]	risk	wide	right	j
Ambiguity	22	1180	blue	0.48	[0,1]	Ambiguous	wide	left	j
Ambiguity	23	1137	blue	0.45	[0,1]	Ambiguous	wide	right	f
Ambiguity	24	879	blue	0.45	[0,1]	Ambiguous	wide	right	f
Ambiguity	25	978	blue	0.43	[0,1]	Ambiguous	wide	left	j
Ambiguity	26	1127	blue	0.42	[0,1]	Ambiguous	wide	left	j
Ambiguity	27	717	blue	0.4	[0,1]	Ambiguous	wide	left	j
Ambiguity	28	1182	blue	0.41	[0,1]	Ambiguous	wide	right	f
Ambiguity	29	846	blue	0.42	[0,1]	Ambiguous	wide	right	f
