Blocktype	tnum	rt	color	winprob	Amb	choice	dist	side	response
Ambiguity	0	4224	green	0.5	[0.25,0.75]	risk	skew	right	j
Ambiguity	1	3216	green	0.4	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	2	2521	green	0.42	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	3	2156	green	0.51	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	4	1958	green	0.62	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	5	1221	green	0.77	[0.25,0.75]	risk	skew	left	f
Ambiguity	6	2036	green	0.67	[0.25,0.75]	risk	skew	left	f
Ambiguity	7	2127	green	0.55	[0.25,0.75]	risk	skew	right	j
Ambiguity	8	1122	green	0.36	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	9	850	green	0.42	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	10	987	green	0.53	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	11	1055	green	0.71	[0.25,0.75]	risk	skew	right	j
Ambiguity	12	1497	green	0.6	[0.25,0.75]	risk	skew	left	f
Ambiguity	13	1206	green	0.45	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	14	1050	green	0.5	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	15	1992	green	0.5	[0,1]	Ambiguous	skew	right	f
Ambiguity	16	1804	green	0.59	[0,1]	Ambiguous	skew	left	j
Ambiguity	17	955	green	0.74	[0,1]	risk	skew	right	j
Ambiguity	18	906	green	0.68	[0,1]	risk	skew	right	j
Ambiguity	19	1079	green	0.56	[0,1]	Ambiguous	skew	left	j
Ambiguity	20	1106	green	0.64	[0,1]	risk	skew	right	j
Ambiguity	21	1538	green	0.6	[0,1]	risk	skew	right	j
Ambiguity	22	878	green	0.55	[0,1]	Ambiguous	skew	left	j
Ambiguity	23	1424	green	0.58	[0,1]	Ambiguous	skew	right	f
Ambiguity	24	837	green	0.6	[0,1]	risk	skew	right	j
Ambiguity	25	832	green	0.58	[0,1]	Ambiguous	skew	left	j
Ambiguity	26	684	green	0.58	[0,1]	Ambiguous	skew	left	j
Ambiguity	27	1170	green	0.57	[0,1]	Ambiguous	skew	right	f
Ambiguity	28	959	green	0.56	[0,1]	Ambiguous	skew	right	f
Ambiguity	29	974	green	0.58	[0,1]	Ambiguous	skew	right	f
Ambiguity	30	3078	red	0.5	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	31	2074	red	0.6	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	32	836	red	0.73	[0.25,0.75]	risk	narrow	right	j
Ambiguity	33	982	red	0.65	[0.25,0.75]	risk	narrow	right	j
Ambiguity	34	950	red	0.54	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	35	833	red	0.6	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	36	888	red	0.66	[0.25,0.75]	risk	narrow	right	j
Ambiguity	37	1115	red	0.6	[0.25,0.75]	risk	narrow	right	j
Ambiguity	38	1046	red	0.52	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	39	875	red	0.55	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	40	1078	red	0.58	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	41	1005	red	0.66	[0.25,0.75]	risk	narrow	left	f
Ambiguity	42	786	red	0.63	[0.25,0.75]	risk	narrow	left	f
Ambiguity	43	994	red	0.58	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	44	965	red	0.6	[0.25,0.75]	risk	narrow	right	j
Ambiguity	45	865	red	0.5	[0,1]	Ambiguous	narrow	right	f
Ambiguity	46	1096	red	0.61	[0,1]	risk	narrow	left	f
Ambiguity	47	836	red	0.55	[0,1]	Ambiguous	narrow	right	f
Ambiguity	48	845	red	0.6	[0,1]	risk	narrow	left	f
Ambiguity	49	695	red	0.57	[0,1]	Ambiguous	narrow	left	j
Ambiguity	50	716	red	0.59	[0,1]	Ambiguous	narrow	left	j
Ambiguity	51	830	red	0.58	[0,1]	Ambiguous	narrow	left	j
Ambiguity	52	739	red	0.59	[0,1]	Ambiguous	narrow	left	j
Ambiguity	53	915	red	0.6	[0,1]	risk	narrow	right	j
Ambiguity	54	789	red	0.58	[0,1]	Ambiguous	narrow	right	f
Ambiguity	55	821	red	0.6	[0,1]	risk	narrow	left	f
Ambiguity	56	1068	red	0.61	[0,1]	Ambiguous	narrow	right	f
Ambiguity	57	890	red	0.58	[0,1]	Ambiguous	narrow	right	f
Ambiguity	58	782	red	0.58	[0,1]	Ambiguous	narrow	left	j
Ambiguity	59	651	red	0.55	[0,1]	Ambiguous	narrow	left	j
Ambiguity	60	1000	blue	0.5	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	61	1002	blue	0.58	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	62	915	blue	0.73	[0.25,0.75]	risk	wide	right	j
Ambiguity	63	898	blue	0.66	[0.25,0.75]	risk	wide	right	j
Ambiguity	64	875	blue	0.53	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	65	842	blue	0.6	[0.25,0.75]	risk	wide	left	f
Ambiguity	66	640	blue	0.56	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	67	739	blue	0.56	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	68	692	blue	0.55	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	69	888	blue	0.55	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	70	691	blue	0.58	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	71	784	blue	0.62	[0.25,0.75]	risk	wide	left	f
Ambiguity	72	1044	blue	0.59	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	73	643	blue	0.62	[0.25,0.75]	risk	wide	left	f
Ambiguity	74	984	blue	0.59	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	75	944	blue	0.5	[0,1]	Ambiguous	wide	right	f
Ambiguity	76	626	blue	0.61	[0,1]	risk	wide	left	f
Ambiguity	77	934	blue	0.55	[0,1]	Ambiguous	wide	right	f
Ambiguity	78	864	blue	0.58	[0,1]	Ambiguous	wide	right	f
Ambiguity	79	593	blue	0.63	[0,1]	risk	wide	left	f
Ambiguity	80	954	blue	0.6	[0,1]	risk	wide	right	j
Ambiguity	81	924	blue	0.58	[0,1]	Ambiguous	wide	right	f
Ambiguity	82	600	blue	0.61	[0,1]	risk	wide	left	f
Ambiguity	83	812	blue	0.59	[0,1]	Ambiguous	wide	left	j
Ambiguity	84	947	blue	0.57	[0,1]	Ambiguous	wide	left	j
Ambiguity	85	605	blue	0.58	[0,1]	Ambiguous	wide	left	j
Ambiguity	86	616	blue	0.57	[0,1]	Ambiguous	wide	left	j
Ambiguity	87	872	blue	0.58	[0,1]	Ambiguous	wide	right	f
Ambiguity	88	740	blue	0.6	[0,1]	risk	wide	left	f
Ambiguity	89	959	blue	0.57	[0,1]	Ambiguous	wide	right	f
