Blocktype	tnum	rt	color	winprob	Amb	RL_feedback	choice	dist	side	response
Learning	6	1085	green	0.54	[0,1]	lose	Amb	norm	right	f
Learning	7	1023	green	0.59	[0,1]	lose	Amb	norm	left	j
Learning	8	694	green	0.62	[0,1]	lose	risk	norm	left	f
Learning	9	1307	green	0.61	[0,1]	lose	Amb	norm	right	f
Learning	10	1225	green	0.6	[0,1]	lose	Amb	norm	left	j
Learning	11	1269	green	0.62	[0,1]	lose	risk	norm	left	f
Learning	12	1018	green	0.62	[0,1]	lose	Amb	norm	left	j
Learning	13	883	green	0.64	[0,1]	lose	Amb	norm	left	j
Learning	14	667	green	0.63	[0,1]	lose	Amb	norm	left	j
Learning	15	1249	green	0.64	[0,1]	lose	risk	norm	right	j
