Blocktype	tnum	rt	color	winprob	Amb	choice	dist	side	response
Ambiguity	0	3751	green	0.5	[0.25,0.75]	risk	wide	right	j
Ambiguity	1	3058	green	0.38	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	2	2569	green	0.4	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	3	2600	green	0.48	[0.25,0.75]	risk	wide	left	f
Ambiguity	4	2758	green	0.44	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	5	2445	green	0.46	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	6	2085	green	0.47	[0.25,0.75]	risk	wide	left	f
Ambiguity	7	1338	green	0.45	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	8	1720	green	0.47	[0.25,0.75]	risk	wide	left	f
Ambiguity	9	2031	green	0.46	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	10	1572	green	0.46	[0.25,0.75]	risk	wide	right	j
Ambiguity	11	1352	green	0.47	[0.25,0.75]	risk	wide	right	j
Ambiguity	12	1669	green	0.48	[0.25,0.75]	risk	wide	right	j
Ambiguity	13	1239	green	0.48	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	14	1154	green	0.47	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	15	2142	green	0.5	[0,1]	risk	wide	right	j
Ambiguity	16	2760	green	0.4	[0,1]	Ambiguous	wide	right	f
Ambiguity	17	2054	green	0.45	[0,1]	Ambiguous	wide	right	f
Ambiguity	18	775	green	0.54	[0,1]	risk	wide	right	j
Ambiguity	19	1675	green	0.49	[0,1]	Ambiguous	wide	left	j
Ambiguity	20	1622	green	0.48	[0,1]	risk	wide	right	j
Ambiguity	21	1742	green	0.47	[0,1]	Ambiguous	wide	right	f
Ambiguity	22	1081	green	0.45	[0,1]	Ambiguous	wide	left	j
Ambiguity	23	976	green	0.45	[0,1]	risk	wide	left	f
Ambiguity	24	1019	green	0.44	[0,1]	risk	wide	left	f
Ambiguity	25	1531	green	0.42	[0,1]	risk	wide	right	j
Ambiguity	26	555	green	0.42	[0,1]	Ambiguous	wide	right	f
Ambiguity	27	934	green	0.41	[0,1]	Ambiguous	wide	left	j
Ambiguity	28	762	green	0.4	[0,1]	Ambiguous	wide	right	f
Ambiguity	29	939	green	0.38	[0,1]	Ambiguous	wide	left	j
Ambiguity	30	1912	blue	0.5	[0.25,0.75]	risk	narrow	left	f
Ambiguity	31	2371	blue	0.38	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	32	1333	blue	0.45	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	33	1601	blue	0.55	[0.25,0.75]	risk	narrow	left	f
Ambiguity	34	1932	blue	0.51	[0.25,0.75]	risk	narrow	left	f
Ambiguity	35	1242	blue	0.44	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	36	1469	blue	0.46	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	37	757	blue	0.52	[0.25,0.75]	risk	narrow	left	f
Ambiguity	38	1412	blue	0.49	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	39	1010	blue	0.5	[0.25,0.75]	risk	narrow	right	j
Ambiguity	40	1039	blue	0.5	[0.25,0.75]	risk	narrow	left	f
Ambiguity	41	929	blue	0.47	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	42	1337	blue	0.45	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	43	2164	blue	0.48	[0.25,0.75]	risk	narrow	left	f
Ambiguity	44	1626	blue	0.46	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	45	1340	blue	0.5	[0,1]	risk	narrow	right	j
Ambiguity	46	1243	blue	0.41	[0,1]	Ambiguous	narrow	left	j
Ambiguity	47	1552	blue	0.48	[0,1]	Ambiguous	narrow	right	f
Ambiguity	48	1010	blue	0.57	[0,1]	risk	narrow	right	j
Ambiguity	49	1090	blue	0.52	[0,1]	risk	narrow	left	f
Ambiguity	50	1128	blue	0.46	[0,1]	Ambiguous	narrow	right	f
Ambiguity	51	1027	blue	0.48	[0,1]	Ambiguous	narrow	right	f
Ambiguity	52	1240	blue	0.49	[0,1]	risk	narrow	left	f
Ambiguity	53	1457	blue	0.46	[0,1]	Ambiguous	narrow	right	f
Ambiguity	54	1156	blue	0.46	[0,1]	Ambiguous	narrow	left	j
Ambiguity	55	1071	blue	0.48	[0,1]	risk	narrow	left	f
Ambiguity	56	1226	blue	0.46	[0,1]	Ambiguous	narrow	right	f
Ambiguity	57	1128	blue	0.44	[0,1]	Ambiguous	narrow	right	f
Ambiguity	58	1035	blue	0.44	[0,1]	Ambiguous	narrow	left	j
Ambiguity	59	1057	blue	0.44	[0,1]	Ambiguous	narrow	right	f
Ambiguity	60	2573	red	0.5	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	61	978	red	0.61	[0.25,0.75]	risk	skew	left	f
Ambiguity	62	1432	red	0.56	[0.25,0.75]	risk	skew	right	j
Ambiguity	63	1487	red	0.48	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	64	986	red	0.54	[0.25,0.75]	risk	skew	right	j
Ambiguity	65	2364	red	0.52	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	66	1022	red	0.54	[0.25,0.75]	risk	skew	right	j
Ambiguity	67	1677	red	0.52	[0.25,0.75]	risk	skew	right	j
Ambiguity	68	974	red	0.52	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	69	1666	red	0.51	[0.25,0.75]	risk	skew	right	j
Ambiguity	70	810	red	0.51	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	71	1258	red	0.52	[0.25,0.75]	Ambiguous	skew	right	f
