Blocktype	tnum	rt	color	winprob	Amb	choice	dist	side	response
Ambiguity	0	NA	green	0.5	[0.25,0.75]	Ambiguous	skew	left	
Ambiguity	1	121	green	0.62	[0.25,0.75]	risk	skew	right	j
Ambiguity	2	2462	green	0.57	[0.25,0.75]	risk	skew	right	j
Ambiguity	3	2645	green	0.49	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	4	2227	green	0.55	[0.25,0.75]	risk	skew	right	j
Ambiguity	5	1522	green	0.51	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	6	2054	green	0.52	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	7	1337	green	0.53	[0.25,0.75]	risk	skew	left	f
Ambiguity	8	2735	green	0.5	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	9	1887	green	0.49	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	10	1072	green	0.51	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	11	1090	green	0.54	[0.25,0.75]	risk	skew	right	j
Ambiguity	12	1212	green	0.52	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	13	872	green	0.49	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	14	645	green	0.51	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	15	1742	green	0.5	[0,1]	Ambiguous	skew	left	j
Ambiguity	16	864	green	0.58	[0,1]	Ambiguous	skew	right	f
Ambiguity	17	977	green	0.71	[0,1]	risk	skew	right	j
Ambiguity	18	1144	green	0.63	[0,1]	Ambiguous	skew	left	j
Ambiguity	19	1007	green	0.64	[0,1]	risk	skew	left	f
Ambiguity	20	2344	green	0.6	[0,1]	risk	skew	left	f
Ambiguity	21	1034	green	0.55	[0,1]	Ambiguous	skew	left	j
Ambiguity	22	1011	green	0.58	[0,1]	Ambiguous	skew	left	j
Ambiguity	23	992	green	0.6	[0,1]	risk	skew	right	j
Ambiguity	24	1007	green	0.59	[0,1]	Ambiguous	skew	right	f
Ambiguity	25	865	green	0.6	[0,1]	risk	skew	right	j
Ambiguity	26	689	green	0.59	[0,1]	Ambiguous	skew	right	f
Ambiguity	27	816	green	0.56	[0,1]	Ambiguous	skew	left	j
Ambiguity	28	798	green	0.53	[0,1]	Ambiguous	skew	right	f
Ambiguity	29	578	green	0.51	[0,1]	Ambiguous	skew	right	f
Ambiguity	30	3625	red	0.5	[0.25,0.75]	risk	narrow	right	j
Ambiguity	31	1483	red	0.38	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	32	755	red	0.42	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	33	1221	red	0.49	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	34	1451	red	0.6	[0.25,0.75]	risk	narrow	right	j
Ambiguity	35	943	red	0.53	[0.25,0.75]	risk	narrow	right	j
Ambiguity	36	1215	red	0.45	[0.25,0.75]	Ambiguous	narrow	left	j
