Lot_color	dist	percent	value	order
R	narrow	0	2	2
R	narrow	10	1	2
R	narrow	20	0	2
R	narrow	30	1	2
R	narrow	40	0	2
R	narrow	50	3	2
R	narrow	60	2	2
R	narrow	70	1	2
R	narrow	80	1	2
R	narrow	90	1	2
R	narrow	100	4	2
G	wide	0	0	3
G	wide	10	0	3
G	wide	20	0	3
G	wide	30	1	3
G	wide	40	2	3
G	wide	50	4	3
G	wide	60	0	3
G	wide	70	3	3
G	wide	80	1	3
G	wide	90	2	3
G	wide	100	0	3
B	skew	0	0	1
B	skew	10	0	1
B	skew	20	0	1
B	skew	30	2	1
B	skew	40	0	1
B	skew	50	1	1
B	skew	60	3	1
B	skew	70	1	1
B	skew	80	0	1
B	skew	90	1	1
B	skew	100	0	1
