Lot_color	dist	percent	value	order
R	skew	0	0	1
R	skew	10	0	1
R	skew	20	0	1
R	skew	30	0	1
R	skew	40	2	1
R	skew	50	2	1
R	skew	60	0	1
R	skew	70	10	1
R	skew	80	2	1
R	skew	90	0	1
R	skew	100	2	1
G	wide	0	3	3
G	wide	10	0	3
G	wide	20	0	3
G	wide	30	0	3
G	wide	40	3	3
G	wide	50	5	3
G	wide	60	0	3
G	wide	70	3	3
G	wide	80	0	3
G	wide	90	0	3
G	wide	100	2	3
B	narrow	0	1	2
B	narrow	10	1	2
B	narrow	20	1	2
B	narrow	30	1	2
B	narrow	40	1	2
B	narrow	50	1	2
B	narrow	60	1	2
B	narrow	70	1	2
B	narrow	80	1	2
B	narrow	90	1	2
B	narrow	100	1	2
