Lot_color	dist	percent	value	order
R	wide	0	4	1
R	wide	10	2	1
R	wide	20	0	1
R	wide	30	5	1
R	wide	40	0	1
R	wide	50	3	1
R	wide	60	0	1
R	wide	70	4	1
R	wide	80	0	1
R	wide	90	3	1
R	wide	100	5	1
G	skew	0	1	3
G	skew	10	0	3
G	skew	20	0	3
G	skew	30	5	3
G	skew	40	0	3
G	skew	50	2	3
G	skew	60	2	3
G	skew	70	2	3
G	skew	80	6	3
G	skew	90	4	3
G	skew	100	1	3
B	narrow	0	2	2
B	narrow	10	2	2
B	narrow	20	4	2
B	narrow	30	6	2
B	narrow	40	0	2
B	narrow	50	0	2
B	narrow	60	5	2
B	narrow	70	3	2
B	narrow	80	2	2
B	narrow	90	1	2
B	narrow	100	3	2
