Lot_color	dist	percent	value	order
R	skew	0	0	3
R	skew	10	1	3
R	skew	20	1	3
R	skew	30	0	3
R	skew	40	1	3
R	skew	50	8	3
R	skew	60	3	3
R	skew	70	6	3
R	skew	80	4	3
R	skew	90	1	3
R	skew	100	2	3
G	wide	0	4	1
G	wide	10	5	1
G	wide	20	5	1
G	wide	30	1	1
G	wide	40	3	1
G	wide	50	4	1
G	wide	60	1	1
G	wide	70	1	1
G	wide	80	1	1
G	wide	90	1	1
G	wide	100	3	1
B	narrow	0	0	2
B	narrow	10	1	2
B	narrow	20	3	2
B	narrow	30	2	2
B	narrow	40	2	2
B	narrow	50	7	2
B	narrow	60	2	2
B	narrow	70	2	2
B	narrow	80	0	2
B	narrow	90	0	2
B	narrow	100	0	2
