Lot_color	dist	percent	value	order
R	skew	0	5	2
R	skew	10	5	2
R	skew	20	4	2
R	skew	30	2	2
R	skew	40	1	2
R	skew	50	1	2
R	skew	60	6	2
R	skew	70	8	2
R	skew	80	4	2
R	skew	90	5	2
R	skew	100	0	2
G	narrow	0	1	1
G	narrow	10	2	1
G	narrow	20	5	1
G	narrow	30	5	1
G	narrow	40	1	1
G	narrow	50	6	1
G	narrow	60	8	1
G	narrow	70	4	1
G	narrow	80	4	1
G	narrow	90	7	1
G	narrow	100	0	1
B	wide	0	1	3
B	wide	10	1	3
B	wide	20	6	3
B	wide	30	4	3
B	wide	40	4	3
B	wide	50	1	3
B	wide	60	2	3
B	wide	70	5	3
B	wide	80	4	3
B	wide	90	1	3
B	wide	100	0	3
