Lot_color	dist	percent	value	order
R	wide	0	2	2
R	wide	10	3	2
R	wide	20	3	2
R	wide	30	2	2
R	wide	40	0	2
R	wide	50	0	2
R	wide	60	0	2
R	wide	70	1	2
R	wide	80	1	2
R	wide	90	1	2
R	wide	100	1	2
G	skew	0	1	3
G	skew	10	2	3
G	skew	20	2	3
G	skew	30	1	3
G	skew	40	0	3
G	skew	50	1	3
G	skew	60	3	3
G	skew	70	2	3
G	skew	80	1	3
G	skew	90	1	3
G	skew	100	1	3
B	narrow	0	1	1
B	narrow	10	1	1
B	narrow	20	0	1
B	narrow	30	0	1
B	narrow	40	1	1
B	narrow	50	1	1
B	narrow	60	1	1
B	narrow	70	2	1
B	narrow	80	1	1
B	narrow	90	1	1
B	narrow	100	0	1
