Lot_color	dist	percent	value	order
R	wide	0	0	3
R	wide	10	1	3
R	wide	20	2	3
R	wide	30	2	3
R	wide	40	3	3
R	wide	50	3	3
R	wide	60	4	3
R	wide	70	6	3
R	wide	80	5	3
R	wide	90	4	3
R	wide	100	0	3
G	skew	0	0	2
G	skew	10	0	2
G	skew	20	1	2
G	skew	30	2	2
G	skew	40	5	2
G	skew	50	6	2
G	skew	60	6	2
G	skew	70	6	2
G	skew	80	4	2
G	skew	90	1	2
G	skew	100	0	2
B	narrow	0	0	1
B	narrow	10	1	1
B	narrow	20	3	1
B	narrow	30	3	1
B	narrow	40	5	1
B	narrow	50	5	1
B	narrow	60	2	1
B	narrow	70	0	1
B	narrow	80	0	1
B	narrow	90	0	1
B	narrow	100	0	1
