Blocktype	tnum	rt	color	winprob	Amb	RL_feedback	choice	dist	side	response
Learning	1	2630	green	0.5	[0,1]	lose	Amb	norm	right	f
Learning	2	3062	green	0.57	[0,1]	lose	risk	norm	left	f
Learning	3	3024	green	0.53	[0,1]	lose	risk	norm	right	j
Learning	4	1238	green	0.43	[0,1]	lose	Amb	norm	left	j
Learning	5	2219	green	0.48	[0,1]	lose	Amb	norm	left	j
Learning	6	1200	green	0.54	[0,1]	lose	risk	norm	left	f
Learning	7	1448	green	0.52	[0,1]	lose	risk	norm	right	j
Learning	8	2286	green	0.48	[0,1]	lose	Amb	norm	left	j
Learning	9	2435	green	0.47	[0,1]	lose	Amb	norm	right	f
Learning	10	1670	green	0.47	[0,1]	lose	Amb	norm	left	j
Learning	11	1269	green	0.51	[0,1]	lose	risk	norm	right	j
Learning	12	1726	green	0.5	[0,1]	lose	Amb	norm	left	j
Learning	13	1300	green	0.49	[0,1]	lose	Amb	norm	left	j
Learning	14	1453	green	0.48	[0,1]	lose	Amb	norm	left	j
Learning	15	1299	green	0.5	[0,1]	lose	Amb	norm	left	j
Learning	1	3318	blue	0.5	[0,1]	lose	Amb	norm	right	f
Learning	2	1130	blue	0.62	[0,1]	lose	risk	norm	right	j
Learning	3	1069	blue	0.58	[0,1]	lose	risk	norm	left	f
Learning	4	1304	blue	0.49	[0,1]	lose	Amb	norm	left	j
Learning	5	1229	blue	0.54	[0,1]	lose	risk	norm	left	f
Learning	6	1724	blue	0.53	[0,1]	lose	risk	norm	right	j
Learning	7	2227	blue	0.51	[0,1]	lose	risk	norm	left	f
Learning	8	1306	blue	0.46	[0,1]	lose	Amb	norm	right	f
Learning	9	1211	blue	0.45	[0,1]	lose	Amb	norm	left	j
Learning	10	1672	blue	0.5	[0,1]	lose	Amb	norm	right	f
Learning	11	1222	blue	0.54	[0,1]	lose	risk	norm	right	j
Learning	12	2130	blue	0.52	[0,1]	lose	risk	norm	left	f
Learning	13	1458	blue	0.46	[0,1]	lose	Amb	norm	right	f
Learning	14	1472	blue	0.49	[0,1]	lose	Amb	norm	left	j
Learning	15	1506	blue	0.5	[0,1]	lose	Amb	norm	right	f
Learning	1	1508	red	0.5	[0,1]	win	Amb	norm	right	f
Learning	2	1441	red	0.58	[0,1]	win	Amb	norm	right	f
Learning	3	1536	red	0.71	[0,1]	win	risk	norm	right	j
Learning	4	1582	red	0.65	[0,1]	win	risk	norm	left	f
Learning	5	2536	red	0.53	[0,1]	win	risk	norm	left	f
Learning	6	1226	red	0.34	[0,1]	win	Amb	norm	right	f
Learning	7	1196	red	0.42	[0,1]	win	Amb	norm	left	j
Learning	8	1503	red	0.55	[0,1]	win	risk	norm	right	j
Learning	9	1531	red	0.49	[0,1]	win	Amb	norm	left	j
Learning	10	1357	red	0.49	[0,1]	win	risk	norm	right	j
Learning	11	1691	red	0.47	[0,1]	win	Amb	norm	right	f
Learning	12	1760	red	0.46	[0,1]	win	Amb	norm	left	j
Learning	13	1249	red	0.45	[0,1]	win	Amb	norm	right	f
Learning	14	1280	red	0.44	[0,1]	win	risk	norm	right	j
Learning	15	1312	red	0.42	[0,1]	win	Amb	norm	left	j
Learning	1	2363	red	0.5	[0,1]	lose	Amb	norm	left	j
Learning	2	1096	red	0.57	[0,1]	lose	risk	norm	left	f
Learning	3	1015	red	0.5	[0,1]	lose	Amb	norm	left	j
Learning	4	1194	red	0.51	[0,1]	lose	Amb	norm	left	j
Learning	5	1219	red	0.55	[0,1]	lose	risk	norm	left	f
Learning	6	1160	red	0.52	[0,1]	lose	risk	norm	right	j
Learning	7	1145	red	0.49	[0,1]	lose	Amb	norm	right	f
Learning	8	1283	red	0.49	[0,1]	lose	Amb	norm	left	j
Learning	9	1654	red	0.5	[0,1]	lose	Amb	norm	right	f
Learning	10	1209	red	0.55	[0,1]	lose	risk	norm	right	j
Learning	11	1126	red	0.52	[0,1]	lose	risk	norm	right	j
Learning	12	997	red	0.51	[0,1]	lose	risk	norm	right	j
Learning	13	1388	red	0.45	[0,1]	lose	Amb	norm	left	j
Learning	14	1610	red	0.48	[0,1]	lose	Amb	norm	left	j
Learning	15	1159	red	0.49	[0,1]	lose	Amb	norm	left	j
Learning	1	1756	blue	0.5	[0,1]	win	Amb	norm	right	f
Learning	2	1571	blue	0.58	[0,1]	win	risk	norm	right	j
Learning	3	1158	blue	0.51	[0,1]	win	Amb	norm	left	j
Learning	4	2397	blue	0.56	[0,1]	win	Amb	norm	left	j
Learning	5	2557	blue	0.58	[0,1]	win	Amb	norm	right	f
Learning	6	1177	blue	0.63	[0,1]	win	risk	norm	left	f
Learning	7	2001	blue	0.59	[0,1]	win	Amb	norm	right	f
Learning	8	1386	blue	0.6	[0,1]	win	risk	norm	right	j
Learning	9	1426	blue	0.57	[0,1]	win	Amb	norm	right	f
Learning	10	1561	blue	0.58	[0,1]	win	Amb	norm	left	j
Learning	11	1812	blue	0.58	[0,1]	win	Amb	norm	right	f
Learning	12	1537	blue	0.58	[0,1]	win	Amb	norm	left	j
Learning	13	1627	blue	0.57	[0,1]	win	Amb	norm	left	j
Learning	14	1099	blue	0.59	[0,1]	win	Amb	norm	right	f
Learning	15	938	blue	0.61	[0,1]	win	risk	norm	right	j
Learning	1	1987	green	0.5	[0,1]	win	Amb	norm	right	f
Learning	2	1792	green	0.62	[0,1]	win	risk	norm	right	j
Learning	3	1069	green	0.56	[0,1]	win	Amb	norm	right	f
Learning	4	1423	green	0.57	[0,1]	win	Amb	norm	left	j
Learning	5	911	green	0.61	[0,1]	win	risk	norm	right	j
Learning	6	870	green	0.6	[0,1]	win	risk	norm	right	j
