Lot_color	dist	percent	value	order
R	skew	0	0	1
R	skew	10	0	1
R	skew	20	1	1
R	skew	30	5	1
R	skew	40	10	1
R	skew	50	10	1
R	skew	60	10	1
R	skew	70	10	1
R	skew	80	4	1
R	skew	90	0	1
R	skew	100	0	1
G	narrow	0	0	2
G	narrow	10	0	2
G	narrow	20	10	2
G	narrow	30	10	2
G	narrow	40	10	2
G	narrow	50	10	2
G	narrow	60	10	2
G	narrow	70	10	2
G	narrow	80	6	2
G	narrow	90	0	2
G	narrow	100	0	2
B	wide	0	5	3
B	wide	10	1	3
B	wide	20	5	3
B	wide	30	0	3
B	wide	40	0	3
B	wide	50	0	3
B	wide	60	0	3
B	wide	70	5	3
B	wide	80	5	3
B	wide	90	10	3
B	wide	100	2	3
