Lot_color	dist	percent	value	order
R	skew	0	0	3
R	skew	10	10	3
R	skew	20	5	3
R	skew	30	5	3
R	skew	40	5	3
R	skew	50	15	3
R	skew	60	15	3
R	skew	70	10	3
R	skew	80	10	3
R	skew	90	10	3
R	skew	100	15	3
G	narrow	0	0	1
G	narrow	10	0	1
G	narrow	20	0	1
G	narrow	30	0	1
G	narrow	40	30	1
G	narrow	50	40	1
G	narrow	60	30	1
G	narrow	70	0	1
G	narrow	80	0	1
G	narrow	90	0	1
G	narrow	100	0	1
B	wide	0	0	2
B	wide	10	10	2
B	wide	20	10	2
B	wide	30	10	2
B	wide	40	10	2
B	wide	50	20	2
B	wide	60	10	2
B	wide	70	10	2
B	wide	80	10	2
B	wide	90	10	2
B	wide	100	0	2
