Lot_color	dist	percent	value	order
R	wide	0	4	3
R	wide	10	2	3
R	wide	20	0	3
R	wide	30	1	3
R	wide	40	1	3
R	wide	50	0	3
R	wide	60	1	3
R	wide	70	1	3
R	wide	80	0	3
R	wide	90	1	3
R	wide	100	5	3
G	narrow	0	0	2
G	narrow	10	0	2
G	narrow	20	0	2
G	narrow	30	3	2
G	narrow	40	2	2
G	narrow	50	4	2
G	narrow	60	1	2
G	narrow	70	1	2
G	narrow	80	0	2
G	narrow	90	0	2
G	narrow	100	0	2
B	skew	0	0	1
B	skew	10	0	1
B	skew	20	0	1
B	skew	30	2	1
B	skew	40	1	1
B	skew	50	2	1
B	skew	60	1	1
B	skew	70	1	1
B	skew	80	2	1
B	skew	90	0	1
B	skew	100	0	1
