Lot_color	dist	percent	value	order
R	skew	0	2	1
R	skew	10	3	1
R	skew	20	2	1
R	skew	30	3	1
R	skew	40	3	1
R	skew	50	7	1
R	skew	60	4	1
R	skew	70	5	1
R	skew	80	4	1
R	skew	90	3	1
R	skew	100	-4	1
G	wide	0	3	3
G	wide	10	2	3
G	wide	20	4	3
G	wide	30	3	3
G	wide	40	4	3
G	wide	50	6	3
G	wide	60	3	3
G	wide	70	4	3
G	wide	80	3	3
G	wide	90	2	3
G	wide	100	3	3
B	narrow	0	2	2
B	narrow	10	4	2
B	narrow	20	2	2
B	narrow	30	3	2
B	narrow	40	4	2
B	narrow	50	3	2
B	narrow	60	5	2
B	narrow	70	3	2
B	narrow	80	2	2
B	narrow	90	3	2
B	narrow	100	3	2
