participant_id	best_lot	worst_lot
sub-1001	red	green
sub-1003	NA	NA
sub-1007	green	red
sub-1009	blue	red
sub-1010	red	blue
sub-1011	green	red
sub-1012	blue	red
sub-1013	red	green
sub-1015	green	red
sub-1016	red	green
sub-1019	red	blue
sub-1021	blue	red
sub-1240	green	red
sub-1242	blue	green
sub-1243	green	blue
sub-1244	NA	NA
sub-1245	blue	red
sub-1247	NA	NA
sub-1248	red	blue
sub-1249	NA	NA
sub-1251	NA	NA
sub-1253	red	blue
sub-1276	NA	NA
sub-1282	green	red
sub-1286	red	green
sub-1294	red	blue
sub-1300	green	blue
sub-1301	blue	red
sub-1302	blue	red
sub-1303	blue	green
sub-3101	red	green
sub-3116	blue	green
sub-3122	red	blue
sub-3125	blue	green
sub-3140	green	blue
sub-3152	blue	red
sub-3164	blue	red
sub-3166	green	red
sub-3167	green	red
sub-3170	blue	green
sub-3173	red	blue
sub-3175	blue	red
sub-3176	red	blue
sub-3189	NA	NA
sub-3190	blue	red
sub-3200	red	blue
