Lot_color	dist	percent	value	order
R	wide	0	0	3
R	wide	10	-3	3
R	wide	20	4	3
R	wide	30	3	3
R	wide	40	2	3
R	wide	50	2	3
R	wide	60	3	3
R	wide	70	1	3
R	wide	80	-3	3
R	wide	90	1	3
R	wide	100	0	3
G	narrow	0	0	1
G	narrow	10	2	1
G	narrow	20	2	1
G	narrow	30	-2	1
G	narrow	40	1	1
G	narrow	50	2	1
G	narrow	60	2	1
G	narrow	70	1	1
G	narrow	80	1	1
G	narrow	90	1	1
G	narrow	100	0	1
B	skew	0	0	2
B	skew	10	1	2
B	skew	20	2	2
B	skew	30	2	2
B	skew	40	1	2
B	skew	50	1	2
B	skew	60	1	2
B	skew	70	1	2
B	skew	80	0	2
B	skew	90	1	2
B	skew	100	0	2
