Blocktype	tnum	rt	color	winprob	Amb	RL_feedback	choice	dist	side	response
Learning	1	2431	red	0.5	[0,1]	win	risk	norm	right	j
Learning	2	2165	red	0.38	[0,1]	win	Amb	norm	left	j
Learning	3	1039	red	0.44	[0,1]	win	risk	norm	right	j
Learning	4	2333	red	0.4	[0,1]	win	risk	norm	left	f
Learning	5	1374	red	0.34	[0,1]	win	Amb	norm	right	f
Learning	6	1509	red	0.37	[0,1]	win	risk	norm	right	j
Learning	7	817	red	0.35	[0,1]	win	Amb	norm	right	f
Learning	8	1177	red	0.37	[0,1]	win	risk	norm	right	j
Learning	9	885	red	0.38	[0,1]	win	risk	norm	right	j
Learning	10	1855	red	0.36	[0,1]	win	Amb	norm	left	j
Learning	11	1303	red	0.33	[0,1]	win	Amb	norm	right	f
Learning	12	2444	red	0.35	[0,1]	win	Amb	norm	left	j
Learning	13	692	red	0.37	[0,1]	win	Amb	norm	right	f
Learning	14	1226	red	0.38	[0,1]	win	risk	norm	left	f
Learning	15	879	red	0.37	[0,1]	win	risk	norm	right	j
Learning	1	2409	green	0.5	[0,1]	lose	risk	norm	right	j
Learning	2	1110	green	0.38	[0,1]	lose	risk	norm	right	j
Learning	3	1191	green	0.22	[0,1]	lose	Amb	norm	left	j
Learning	4	1004	green	0.31	[0,1]	lose	risk	norm	right	j
Learning	5	1130	green	0.25	[0,1]	lose	Amb	norm	left	j
Learning	6	2834	green	0.29	[0,1]	lose	risk	norm	left	f
Learning	7	844	green	0.28	[0,1]	lose	Amb	norm	left	j
Learning	8	872	green	0.27	[0,1]	lose	Amb	norm	left	j
Learning	9	1013	green	0.29	[0,1]	lose	risk	norm	left	f
Learning	10	701	green	0.3	[0,1]	lose	risk	norm	left	f
Learning	11	1643	green	0.27	[0,1]	lose	Amb	norm	right	f
Learning	12	740	green	0.26	[0,1]	lose	Amb	norm	left	j
Learning	13	706	green	0.24	[0,1]	lose	Amb	norm	left	j
Learning	14	729	green	0.23	[0,1]	lose	Amb	norm	left	j
Learning	15	511	green	0.22	[0,1]	lose	Amb	norm	left	j
Learning	1	3400	blue	0.5	[0,1]	lose	risk	norm	right	j
Learning	2	715	blue	0.41	[0,1]	lose	risk	norm	right	j
Learning	3	1761	blue	0.27	[0,1]	lose	risk	norm	right	j
Learning	4	870	blue	0.03	[0,1]	lose	Amb	norm	left	j
Learning	5	731	blue	0.11	[0,1]	lose	Amb	norm	left	j
Learning	6	969	blue	0.27	[0,1]	lose	risk	norm	right	j
Learning	7	2602	blue	0.18	[0,1]	lose	Amb	norm	right	f
Learning	8	1397	blue	0.24	[0,1]	lose	Amb	norm	left	j
Learning	9	955	blue	0.32	[0,1]	lose	risk	norm	right	j
Learning	10	1158	blue	0.29	[0,1]	lose	risk	norm	left	f
Learning	11	652	blue	0.22	[0,1]	lose	Amb	norm	left	j
Learning	12	681	blue	0.23	[0,1]	lose	Amb	norm	left	j
Learning	13	1166	blue	0.25	[0,1]	lose	Amb	norm	right	f
Learning	14	975	blue	0.27	[0,1]	lose	risk	norm	left	f
Learning	15	676	blue	0.25	[0,1]	lose	Amb	norm	left	j
Learning	1	1994	green	0.5	[0,1]	win	risk	norm	right	j
Learning	2	3300	green	0.39	[0,1]	win	risk	norm	left	f
Learning	3	713	green	0.23	[0,1]	win	Amb	norm	left	j
Learning	4	1360	green	0.33	[0,1]	win	risk	norm	right	j
Learning	5	1442	green	0.28	[0,1]	win	risk	norm	right	j
Learning	6	749	green	0.23	[0,1]	win	Amb	norm	right	f
Learning	7	748	green	0.23	[0,1]	win	Amb	norm	left	j
Learning	8	1692	green	0.29	[0,1]	win	risk	norm	right	j
Learning	9	1174	green	0.25	[0,1]	win	Amb	norm	left	j
Learning	10	938	green	0.26	[0,1]	win	risk	norm	right	j
Learning	11	1183	green	0.26	[0,1]	win	risk	norm	left	f
Learning	12	696	green	0.26	[0,1]	win	risk	norm	left	f
Learning	13	825	green	0.24	[0,1]	win	Amb	norm	left	j
Learning	14	1431	green	0.26	[0,1]	win	risk	norm	right	j
Learning	15	1019	green	0.27	[0,1]	win	risk	norm	left	f
Learning	1	2701	blue	0.5	[0,1]	win	risk	norm	left	f
