Lot_color	dist	percent	value	order
R	narrow	0	2	2
R	narrow	10	2	2
R	narrow	20	1	2
R	narrow	30	1	2
R	narrow	40	1	2
R	narrow	50	12	2
R	narrow	60	1	2
R	narrow	70	2	2
R	narrow	80	2	2
R	narrow	90	2	2
R	narrow	100	2	2
G	wide	0	2	1
G	wide	10	2	1
G	wide	20	2	1
G	wide	30	2	1
G	wide	40	2	1
G	wide	50	5	1
G	wide	60	5	1
G	wide	70	5	1
G	wide	80	2	1
G	wide	90	2	1
G	wide	100	5	1
B	skew	0	1	3
B	skew	10	1	3
B	skew	20	1	3
B	skew	30	2	3
B	skew	40	2	3
B	skew	50	5	3
B	skew	60	5	3
B	skew	70	5	3
B	skew	80	5	3
B	skew	90	5	3
B	skew	100	5	3
