Blocktype	tnum	rt	color	winprob	Amb	choice	dist	side	response
Ambiguity	0	3652	green	0.5	[0.25,0.75]	risk	wide	left	f
Ambiguity	1	3253	green	0.41	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	2	2208	green	0.44	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	3	2871	green	0.54	[0.25,0.75]	risk	wide	left	f
Ambiguity	4	1386	green	0.5	[0.25,0.75]	risk	wide	left	f
Ambiguity	5	1119	green	0.44	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	6	1500	green	0.49	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	7	1583	green	0.54	[0.25,0.75]	risk	wide	left	f
Ambiguity	8	1320	green	0.51	[0.25,0.75]	risk	wide	left	f
Ambiguity	9	3208	green	0.48	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	10	1500	green	0.51	[0.25,0.75]	risk	wide	right	j
Ambiguity	11	2410	green	0.5	[0.25,0.75]	risk	wide	left	f
Ambiguity	12	647	green	0.5	[0.25,0.75]	risk	wide	left	f
Ambiguity	13	993	green	0.49	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	14	1378	green	0.52	[0.25,0.75]	risk	wide	left	f
Ambiguity	15	897	green	0.5	[0,1]	risk	wide	left	f
Ambiguity	16	801	green	0.39	[0,1]	Ambiguous	wide	left	j
Ambiguity	17	2886	green	0.45	[0,1]	risk	wide	right	j
Ambiguity	18	1395	green	0.43	[0,1]	risk	wide	left	f
Ambiguity	19	1010	green	0.38	[0,1]	Ambiguous	wide	left	j
Ambiguity	20	1489	green	0.39	[0,1]	Ambiguous	wide	right	f
Ambiguity	21	1618	green	0.4	[0,1]	risk	wide	left	f
Ambiguity	22	1415	green	0.38	[0,1]	risk	wide	right	j
Ambiguity	23	1939	green	0.36	[0,1]	risk	wide	right	j
Ambiguity	24	2138	green	0.31	[0,1]	risk	wide	right	j
Ambiguity	25	963	green	0.24	[0,1]	risk	wide	left	f
Ambiguity	26	1608	green	0.17	[0,1]	Ambiguous	wide	right	f
Ambiguity	27	1355	green	0.19	[0,1]	Ambiguous	wide	right	f
Ambiguity	28	1521	green	0.25	[0,1]	Ambiguous	wide	left	j
Ambiguity	29	962	green	0.32	[0,1]	Ambiguous	wide	right	f
Ambiguity	30	2671	red	0.5	[0.25,0.75]	risk	narrow	left	f
Ambiguity	31	680	red	0.38	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	32	950	red	0.43	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	33	1185	red	0.53	[0.25,0.75]	risk	narrow	left	f
Ambiguity	34	975	red	0.49	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	35	1603	red	0.5	[0.25,0.75]	risk	narrow	left	f
Ambiguity	36	1091	red	0.48	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	37	1018	red	0.46	[0.25,0.75]	Ambiguous	narrow	left	j
