Lot_color	dist	percent	value	order
R	wide	0	50	1
R	wide	10	20	1
R	wide	20	10	1
R	wide	30	10	1
R	wide	40	45	1
R	wide	50	20	1
R	wide	60	10	1
R	wide	70	10	1
R	wide	80	20	1
R	wide	90	40	1
R	wide	100	0	1
G	narrow	0	0	2
G	narrow	10	10	2
G	narrow	20	20	2
G	narrow	30	10	2
G	narrow	40	5	2
G	narrow	50	70	2
G	narrow	60	20	2
G	narrow	70	10	2
G	narrow	80	10	2
G	narrow	90	20	2
G	narrow	100	0	2
B	skew	0	20	3
B	skew	10	10	3
B	skew	20	10	3
B	skew	30	40	3
B	skew	40	20	3
B	skew	50	25	3
B	skew	60	27	3
B	skew	70	33	3
B	skew	80	20	3
B	skew	90	5	3
B	skew	100	0	3
