Lot_color	dist	percent	value	order
R	narrow	0	0	2
R	narrow	10	0	2
R	narrow	20	3	2
R	narrow	30	1	2
R	narrow	40	0	2
R	narrow	50	4	2
R	narrow	60	1	2
R	narrow	70	3	2
R	narrow	80	2	2
R	narrow	90	1	2
R	narrow	100	0	2
G	wide	0	4	3
G	wide	10	2	3
G	wide	20	0	3
G	wide	30	1	3
G	wide	40	1	3
G	wide	50	3	3
G	wide	60	1	3
G	wide	70	2	3
G	wide	80	1	3
G	wide	90	1	3
G	wide	100	3	3
B	skew	0	0	1
B	skew	10	3	1
B	skew	20	1	1
B	skew	30	1	1
B	skew	40	0	1
B	skew	50	4	1
B	skew	60	2	1
B	skew	70	2	1
B	skew	80	1	1
B	skew	90	0	1
B	skew	100	1	1
