Blocktype	tnum	rt	color	winprob	Amb	RL_feedback	choice	dist	side	response
Learning	1	1691	red	0.5	[0,1]	lose	risk	norm	right	j
Learning	2	2641	red	0.38	[0,1]	lose	Amb	norm	left	j
Learning	3	1073	red	0.44	[0,1]	lose	risk	norm	left	f
Learning	4	2359	red	0.4	[0,1]	lose	risk	norm	right	j
Learning	5	973	red	0.37	[0,1]	lose	Amb	norm	right	f
Learning	6	1076	red	0.37	[0,1]	lose	risk	norm	left	f
Learning	7	930	red	0.34	[0,1]	lose	Amb	norm	right	f
Learning	8	2311	red	0.35	[0,1]	lose	risk	norm	left	f
Learning	9	1007	red	0.36	[0,1]	lose	Amb	norm	left	j
Learning	10	1079	red	0.34	[0,1]	lose	Amb	norm	right	f
Learning	11	1196	red	0.33	[0,1]	lose	Amb	norm	right	f
Learning	12	1717	red	0.34	[0,1]	lose	Amb	norm	left	j
Learning	13	1352	red	0.31	[0,1]	lose	Amb	norm	right	f
Learning	14	1450	red	0.31	[0,1]	lose	Amb	norm	right	f
Learning	15	2437	red	0.34	[0,1]	lose	Amb	norm	right	f
Learning	1	871	red	0.5	[0,1]	win	risk	norm	left	f
Learning	2	843	red	0.39	[0,1]	win	risk	norm	left	f
Learning	3	1081	red	0.22	[0,1]	win	Amb	norm	right	f
Learning	4	859	red	0.28	[0,1]	win	Amb	norm	right	f
Learning	5	1055	red	0.41	[0,1]	win	risk	norm	left	f
Learning	6	1197	red	0.35	[0,1]	win	risk	norm	right	j
Learning	7	1186	red	0.25	[0,1]	win	Amb	norm	left	j
Learning	8	1071	red	0.29	[0,1]	win	Amb	norm	right	f
Learning	9	994	red	0.32	[0,1]	win	risk	norm	left	f
Learning	10	1420	red	0.27	[0,1]	win	risk	norm	right	j
Learning	11	950	red	0.2	[0,1]	win	Amb	norm	right	f
Learning	12	1108	red	0.22	[0,1]	win	Amb	norm	right	f
Learning	13	1558	red	0.25	[0,1]	win	risk	norm	left	f
Learning	14	1100	red	0.23	[0,1]	win	Amb	norm	right	f
Learning	15	1085	red	0.26	[0,1]	win	risk	norm	right	j
Learning	1	783	green	0.5	[0,1]	win	risk	norm	right	j
Learning	2	555	green	0.4	[0,1]	win	risk	norm	left	f
Learning	3	812	green	0.25	[0,1]	win	risk	norm	right	j
Learning	4	1059	green	0.03	[0,1]	win	Amb	norm	right	f
Learning	5	1028	green	0.15	[0,1]	win	Amb	norm	left	j
Learning	6	667	green	0.29	[0,1]	win	risk	norm	left	f
Learning	7	1899	green	0.19	[0,1]	win	Amb	norm	left	j
Learning	8	1886	green	0.23	[0,1]	win	risk	norm	right	j
Learning	9	1326	green	0.22	[0,1]	win	risk	norm	right	j
Learning	10	816	green	0.18	[0,1]	win	Amb	norm	left	j
Learning	11	1063	green	0.17	[0,1]	win	Amb	norm	right	f
Learning	12	1215	green	0.21	[0,1]	win	risk	norm	left	f
Learning	13	818	green	0.19	[0,1]	win	Amb	norm	left	j
Learning	14	1033	green	0.17	[0,1]	win	Amb	norm	right	f
Learning	15	781	green	0.17	[0,1]	win	Amb	norm	right	f
Learning	1	874	blue	0.5	[0,1]	win	risk	norm	left	f
Learning	2	863	blue	0.39	[0,1]	win	risk	norm	right	j
Learning	3	778	blue	0.23	[0,1]	win	risk	norm	left	f
Learning	4	1139	blue	0	[0,1]	win	Amb	norm	left	j
Learning	5	1216	blue	0.1	[0,1]	win	Amb	norm	right	f
Learning	6	1217	blue	0.29	[0,1]	win	risk	norm	right	j
Learning	7	796	blue	0.21	[0,1]	win	Amb	norm	right	f
Learning	8	922	blue	0.23	[0,1]	win	Amb	norm	right	f
Learning	9	1213	blue	0.29	[0,1]	win	risk	norm	left	f
Learning	10	968	blue	0.25	[0,1]	win	Amb	norm	right	f
Learning	11	889	blue	0.27	[0,1]	win	risk	norm	right	j
Learning	12	1298	blue	0.25	[0,1]	win	Amb	norm	right	f
Learning	13	1001	blue	0.23	[0,1]	win	Amb	norm	left	j
Learning	14	949	blue	0.22	[0,1]	win	Amb	norm	left	j
Learning	15	1637	blue	0.23	[0,1]	win	Amb	norm	right	f
Learning	1	974	green	0.5	[0,1]	lose	risk	norm	right	j
Learning	2	1336	green	0.41	[0,1]	lose	risk	norm	right	j
Learning	3	901	green	0.27	[0,1]	lose	Amb	norm	right	f
Learning	4	896	green	0.37	[0,1]	lose	Amb	norm	right	f
Learning	5	1029	green	0.49	[0,1]	lose	risk	norm	left	f
Learning	6	732	green	0.44	[0,1]	lose	risk	norm	right	j
Learning	7	1045	green	0.34	[0,1]	lose	risk	norm	left	f
Learning	8	783	green	0.22	[0,1]	lose	Amb	norm	right	f
Learning	9	689	green	0.28	[0,1]	lose	Amb	norm	right	f
Learning	10	984	green	0.37	[0,1]	lose	risk	norm	left	f
Learning	11	988	green	0.3	[0,1]	lose	risk	norm	right	j
Learning	12	4	green	0.22	[0,1]	lose	risk	norm	left	f
Learning	13	903	green	0.11	[0,1]	lose	Amb	norm	left	j
Learning	14	805	green	0.14	[0,1]	lose	Amb	norm	left	j
Learning	15	1371	green	0.24	[0,1]	lose	Amb	norm	left	j
Learning	1	874	blue	0.5	[0,1]	lose	Amb	norm	left	j
Learning	2	989	blue	0.62	[0,1]	lose	risk	norm	right	j
Learning	3	641	blue	0.58	[0,1]	lose	risk	norm	right	j
Learning	4	779	blue	0.49	[0,1]	lose	risk	norm	right	j
Learning	5	1258	blue	0.39	[0,1]	lose	Amb	norm	right	f
Learning	6	776	blue	0.44	[0,1]	lose	risk	norm	right	j
Learning	7	1195	blue	0.42	[0,1]	lose	risk	norm	left	f
Learning	8	1149	blue	0.36	[0,1]	lose	Amb	norm	left	j
Learning	9	1568	blue	0.38	[0,1]	lose	Amb	norm	right	f
Learning	10	1216	blue	0.43	[0,1]	lose	risk	norm	left	f
Learning	11	894	blue	0.41	[0,1]	lose	risk	norm	left	f
Learning	12	780	blue	0.38	[0,1]	lose	Amb	norm	left	j
Learning	13	1126	blue	0.36	[0,1]	lose	Amb	norm	right	f
Learning	14	1259	blue	0.39	[0,1]	lose	Amb	norm	left	j
Learning	15	1257	blue	0.44	[0,1]	lose	risk	norm	right	j
