Blocktype	tnum	rt	color	winprob	select	dist	side	response
Risk	0	1299	green	0.5	left	narrow	[""right""]	f
Risk	1	1044	green	0.5	right	narrow	[""left""]	j
Risk	2	1007	green	0.5	left	narrow	[""right""]	f
Risk	3	735	green	0.5	right	narrow	[""left""]	j
Risk	4	1257	green	0.2	left	narrow	[""right""]	f
Risk	5	1719	green	0.6	left	narrow	[""right""]	f
Risk	6	1391	green	0.5	left	narrow	[""right""]	f
Risk	7	1495	green	0.7	right	narrow	[""right""]	j
Risk	8	1247	green	0.5	right	narrow	[""left""]	j
Risk	9	1029	green	0.5	left	narrow	[""right""]	f
Risk	10	1117	green	0.5	right	narrow	[""left""]	j
Risk	11	1071	green	0.3	left	narrow	[""right""]	f
Risk	12	774	green	0.5	right	narrow	[""left""]	j
Risk	13	1259	green	0.4	right	narrow	[""left""]	j
Risk	14	1227	green	0.4	left	narrow	[""right""]	f
Risk	15	1010	green	0.3	right	narrow	[""left""]	j
Risk	16	1141	green	0.6	left	narrow	[""right""]	f
Risk	17	1165	green	0.5	left	narrow	[""right""]	f
Risk	18	1102	green	0.6	left	narrow	[""right""]	f
Risk	19	876	green	0.4	left	narrow	[""right""]	f
Risk	20	1267	blue	0.3	left	wide	[""right""]	f
Risk	21	1306	blue	0.1	right	wide	[""left""]	j
Risk	22	1170	blue	1	left	wide	[""right""]	f
Risk	23	951	blue	0.9	left	wide	[""right""]	f
Risk	24	1552	blue	0	left	wide	[""right""]	f
Risk	25	767	blue	0	left	wide	[""right""]	f
Risk	26	1674	blue	0.2	left	wide	[""right""]	f
Risk	27	1935	blue	0.1	right	wide	[""left""]	j
Risk	28	1768	blue	0.9	left	wide	[""left""]	f
Risk	29	1168	blue	0.1	left	wide	[""right""]	f
Risk	30	1194	blue	0.8	right	wide	[""right""]	j
Risk	31	1080	blue	0.9	right	wide	[""right""]	j
Risk	32	971	blue	1	right	wide	[""right""]	j
Risk	33	1142	blue	0	right	wide	[""left""]	j
Risk	34	959	blue	0	left	wide	[""right""]	f
Risk	35	982	blue	0	right	wide	[""left""]	j
Risk	36	969	blue	0.2	left	wide	[""right""]	f
Risk	37	1367	blue	0.8	left	wide	[""left""]	f
Risk	38	920	blue	1	left	wide	[""left""]	f
Risk	39	1002	blue	0.7	right	wide	[""left""]	j
Risk	40	1351	red	0.7	left	skew	[""right""]	f
Risk	41	1152	red	0.7	right	skew	[""left""]	j
Risk	42	1015	red	0.6000000000000001	right	skew	[""left""]	j
Risk	43	1093	red	0.7	right	skew	[""left""]	j
Risk	44	843	red	0.7	right	skew	[""left""]	j
Risk	45	827	red	0.8	left	skew	[""left""]	f
Risk	46	1195	red	0.8999999999999999	left	skew	[""left""]	f
Risk	47	733	red	0.7	right	skew	[""left""]	j
Risk	48	1066	red	0.5	left	skew	[""right""]	f
Risk	49	1144	red	0.7	right	skew	[""left""]	j
Risk	50	1708	red	0.7	left	skew	[""right""]	f
Risk	51	794	red	0.7	left	skew	[""right""]	f
Risk	52	578	red	0.7	left	skew	[""right""]	f
Risk	53	822	red	0.6000000000000001	right	skew	[""left""]	j
Risk	54	1046	red	0.8	right	skew	[""right""]	j
Risk	55	969	red	0.7	right	skew	[""left""]	j
Risk	56	872	red	0.8	right	skew	[""right""]	j
Risk	57	984	red	0.6000000000000001	right	skew	[""left""]	j
Risk	58	825	red	0.5	left	skew	[""right""]	f
Risk	59	936	red	0.4	right	skew	[""left""]	j
