Blocktype	tnum	rt	color	winprob	select	dist	side	response
Risk	0	NA	green	0.5	none	narrow	[""left""]	
Risk	1	2178	green	0.3	left	narrow	[""left""]	f
Risk	2	NA	green	0.5	none	narrow	[""right""]	
Risk	3	608	green	0.7	right	narrow	[""left""]	j
Risk	4	1938	green	0.5	left	narrow	[""left""]	f
Risk	5	1683	green	0.4	right	narrow	[""right""]	j
Risk	6	3242	green	0.6	left	narrow	[""left""]	f
Risk	7	2778	green	0.5	left	narrow	[""left""]	f
Risk	8	2689	green	0.5	left	narrow	[""left""]	f
Risk	9	1304	green	0.5	left	narrow	[""left""]	f
Risk	10	736	green	0.5	left	narrow	[""left""]	f
Risk	11	3282	green	0.4	right	narrow	[""right""]	j
Risk	12	1427	green	0.5	left	narrow	[""left""]	f
Risk	13	2803	green	0.4	left	narrow	[""right""]	f
Risk	14	2735	green	0.6	right	narrow	[""right""]	j
Risk	15	1748	green	0.3	left	narrow	[""right""]	f
Risk	16	1546	green	0.5	right	narrow	[""right""]	j
Risk	17	1138	green	0.6	left	narrow	[""left""]	f
Risk	18	2084	green	0.2	left	narrow	[""right""]	f
Risk	19	1449	green	0.5	right	narrow	[""right""]	j
Risk	20	1840	red	1	right	wide	[""right""]	j
Risk	21	3045	red	0.2	right	wide	[""left""]	j
Risk	22	3740	red	0.1	right	wide	[""left""]	j
Risk	23	1704	red	0.1	left	wide	[""left""]	f
Risk	24	2211	red	0.2	left	wide	[""right""]	f
Risk	25	1900	red	0	right	wide	[""right""]	j
Risk	26	2689	red	0.1	left	wide	[""right""]	f
Risk	27	3404	red	0	right	wide	[""left""]	j
Risk	28	3574	red	0.3	left	wide	[""right""]	f
Risk	29	2008	red	0.8	right	wide	[""right""]	j
Risk	30	2241	red	0.9	left	wide	[""left""]	f
Risk	31	2011	red	0.7	right	wide	[""right""]	j
Risk	32	1225	red	1	left	wide	[""left""]	f
Risk	33	1472	red	0.9	right	wide	[""right""]	j
Risk	34	2959	red	1	left	wide	[""left""]	f
Risk	35	1136	red	0	right	wide	[""left""]	j
Risk	36	2032	red	0	left	wide	[""right""]	f
Risk	37	2462	red	0	right	wide	[""right""]	j
Risk	38	1965	red	0.9	left	wide	[""left""]	f
Risk	39	1496	red	0.8	left	wide	[""left""]	f
Risk	40	837	blue	0.7	left	skew	[""left""]	f
Risk	41	1901	blue	0.7	right	skew	[""right""]	j
Risk	42	1219	blue	0.8999999999999999	right	skew	[""right""]	j
Risk	43	1016	blue	0.7	right	skew	[""right""]	j
Risk	44	1066	blue	0.4	right	skew	[""right""]	j
Risk	45	1564	blue	0.8	right	skew	[""right""]	j
Risk	46	1139	blue	0.7	left	skew	[""left""]	f
Risk	47	2216	blue	0.8	left	skew	[""left""]	f
Risk	48	727	blue	0.7	left	skew	[""left""]	f
Risk	49	1337	blue	0.7	right	skew	[""right""]	j
Risk	50	618	blue	0.6000000000000001	right	skew	[""right""]	j
Risk	51	2437	blue	0.5	right	skew	[""left""]	j
Risk	52	1219	blue	0.7	left	skew	[""left""]	f
Risk	53	3428	blue	0.5	left	skew	[""right""]	f
Risk	54	1758	blue	0.6000000000000001	right	skew	[""right""]	j
Risk	55	769	blue	0.6000000000000001	right	skew	[""right""]	j
Risk	56	821	blue	0.7	right	skew	[""right""]	j
Risk	57	1276	blue	0.7	right	skew	[""right""]	j
Risk	58	1674	blue	0.8	left	skew	[""left""]	f
Risk	59	774	blue	0.7	left	skew	[""left""]	f
Risk	0	2709	green	0.6000000000000001	left	skew	[""left""]	f
Risk	1	560	green	0.7	right	skew	[""left""]	j
Risk	2	1969	green	0.7	right	skew	[""right""]	j
Risk	3	1286	green	0.7	right	skew	[""right""]	j
Risk	4	1457	green	0.8	right	skew	[""right""]	j
