Blocktype	tnum	rt	color	winprob	Amb	choice	dist	side	response
Ambiguity	0	2633	green	0.5	[0.25,0.75]	risk	narrow	left	f
Ambiguity	1	1284	green	0.4	[0.25,0.75]	risk	narrow	right	j
Ambiguity	2	2193	green	0.23	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	3	2287	green	0.29	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	4	2100	green	0.37	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	5	884	green	0.51	[0.25,0.75]	risk	narrow	left	f
Ambiguity	6	1203	green	0.42	[0.25,0.75]	risk	narrow	right	j
Ambiguity	7	1456	green	0.29	[0.25,0.75]	risk	narrow	right	j
Ambiguity	8	1054	green	0.09	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	9	1130	green	0.2	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	10	1973	green	0.31	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	11	976	green	0.51	[0.25,0.75]	risk	narrow	left	f
Ambiguity	12	1309	green	0.39	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	13	1267	green	0.45	[0.25,0.75]	risk	narrow	right	j
Ambiguity	14	1068	green	0.42	[0.25,0.75]	risk	narrow	right	j
Ambiguity	15	872	green	0.5	[0,1]	risk	narrow	right	j
Ambiguity	16	1124	green	0.39	[0,1]	risk	narrow	right	j
Ambiguity	17	810	green	0.22	[0,1]	risk	narrow	right	j
Ambiguity	18	958	green	0	[0,1]	Ambiguous	narrow	right	f
Ambiguity	19	1214	green	0.08	[0,1]	Ambiguous	narrow	left	j
Ambiguity	20	779	green	0.22	[0,1]	Ambiguous	narrow	left	j
Ambiguity	21	644	green	0.48	[0,1]	Ambiguous	narrow	left	j
Ambiguity	22	668	green	0.86	[0,1]	Ambiguous	narrow	right	f
Ambiguity	23	780	green	1	[0,1]	risk	narrow	right	j
Ambiguity	24	1659	green	0.73	[0,1]	risk	narrow	right	j
Ambiguity	25	1496	green	0.3	[0,1]	Ambiguous	narrow	left	j
Ambiguity	26	738	green	0.49	[0,1]	risk	narrow	left	f
Ambiguity	27	1211	green	0.38	[0,1]	Ambiguous	narrow	right	f
