Lot_color	dist	percent	value	order
R	skew	0	6	2
R	skew	10	8	2
R	skew	20	7	2
R	skew	30	5	2
R	skew	40	8	2
R	skew	50	2	2
R	skew	60	3	2
R	skew	70	-3	2
R	skew	80	2	2
R	skew	90	3	2
R	skew	100	0	2
G	wide	0	6	3
G	wide	10	3	3
G	wide	20	4	3
G	wide	30	3	3
G	wide	40	5	3
G	wide	50	2	3
G	wide	60	4	3
G	wide	70	2	3
G	wide	80	3	3
G	wide	90	2	3
G	wide	100	0	3
B	narrow	0	3	1
B	narrow	10	2	1
B	narrow	20	4	1
B	narrow	30	4	1
B	narrow	40	4	1
B	narrow	50	2	1
B	narrow	60	1	1
B	narrow	70	1	1
B	narrow	80	-1	1
B	narrow	90	-1	1
B	narrow	100	0	1
