Lot_color	dist	percent	value	order
R	wide	0	4	1
R	wide	10	2	1
R	wide	20	2	1
R	wide	30	4	1
R	wide	40	2	1
R	wide	50	4	1
R	wide	60	4	1
R	wide	70	5	1
R	wide	80	3	1
R	wide	90	3	1
R	wide	100	4	1
G	skew	0	1	3
G	skew	10	1	3
G	skew	20	2	3
G	skew	30	2	3
G	skew	40	4	3
G	skew	50	4	3
G	skew	60	5	3
G	skew	70	4	3
G	skew	80	3	3
G	skew	90	5	3
G	skew	100	6	3
B	narrow	0	0	2
B	narrow	10	0	2
B	narrow	20	1	2
B	narrow	30	2	2
B	narrow	40	4	2
B	narrow	50	5	2
B	narrow	60	6	2
B	narrow	70	5	2
B	narrow	80	6	2
B	narrow	90	6	2
B	narrow	100	7	2
