Blocktype	tnum	rt	color	winprob	select	dist	side	response
Risk	0	2492	green	0.8999999999999999	right	skew	[""right""]	j
Risk	1	2931	green	0.6000000000000001	left	skew	[""left""]	f
Risk	2	3387	green	0.6000000000000001	left	skew	[""left""]	f
Risk	3	1394	green	0.7	left	skew	[""left""]	f
Risk	4	1297	green	0.5	left	skew	[""left""]	f
Risk	5	1833	green	0.7	right	skew	[""right""]	j
Risk	6	1104	green	0.8	left	skew	[""left""]	f
Risk	7	1449	green	0.7	right	skew	[""right""]	j
Risk	8	1089	green	0.6000000000000001	right	skew	[""right""]	j
Risk	9	1063	green	0.7	right	skew	[""right""]	j
Risk	10	569	green	0.7	right	skew	[""right""]	j
Risk	11	584	green	0.7	right	skew	[""right""]	j
Risk	12	2065	green	0.4	right	skew	[""left""]	j
Risk	13	1999	green	0.7	right	skew	[""right""]	j
Risk	14	655	green	0.8	left	skew	[""left""]	f
Risk	15	679	green	0.7	left	skew	[""left""]	f
Risk	16	855	green	0.8	left	skew	[""left""]	f
Risk	17	894	green	0.7	right	skew	[""right""]	j
Risk	18	1191	green	0.5	right	skew	[""right""]	j
Risk	19	486	green	0.7	left	skew	[""left""]	f
Risk	20	1919	blue	0.5	right	narrow	[""right""]	j
Risk	21	1749	blue	0.4	right	narrow	[""left""]	j
Risk	22	1189	blue	0.4	right	narrow	[""left""]	j
Risk	23	1110	blue	0.6	left	narrow	[""left""]	f
Risk	24	1223	blue	0.5	left	narrow	[""left""]	f
Risk	25	1014	blue	0.4	right	narrow	[""left""]	j
Risk	26	1935	blue	0.3	left	narrow	[""right""]	f
Risk	27	1951	blue	0.5	right	narrow	[""left""]	j
Risk	28	1358	blue	0.7	right	narrow	[""right""]	j
Risk	29	2454	blue	0.5	right	narrow	[""left""]	j
Risk	30	983	blue	0.5	right	narrow	[""left""]	j
Risk	31	1486	blue	0.5	right	narrow	[""left""]	j
Risk	32	740	blue	0.5	left	narrow	[""left""]	f
Risk	33	1038	blue	0.3	right	narrow	[""left""]	j
Risk	34	940	blue	0.6	right	narrow	[""right""]	j
Risk	35	653	blue	0.6	left	narrow	[""left""]	f
Risk	36	835	blue	0.5	right	narrow	[""right""]	j
Risk	37	653	blue	0.5	right	narrow	[""right""]	j
Risk	38	908	blue	0.2	right	narrow	[""left""]	j
Risk	39	1627	blue	0.5	left	narrow	[""left""]	f
Risk	40	1435	red	0.2	left	wide	[""right""]	f
Risk	41	971	red	0.8	right	wide	[""right""]	j
Risk	42	2340	red	0	left	wide	[""right""]	f
Risk	43	1012	red	1	left	wide	[""left""]	f
Risk	44	849	red	0	right	wide	[""left""]	j
Risk	45	843	red	0.1	left	wide	[""right""]	f
Risk	46	1691	red	0.9	left	wide	[""left""]	f
Risk	47	1761	red	0	left	wide	[""right""]	f
Risk	48	1683	red	0.8	right	wide	[""right""]	j
Risk	49	754	red	0	left	wide	[""right""]	f
Risk	50	1322	red	0.3	left	wide	[""right""]	f
Risk	51	1064	red	0.9	left	wide	[""left""]	f
Risk	52	746	red	0.2	right	wide	[""left""]	j
Risk	53	1122	red	1	left	wide	[""left""]	f
Risk	54	1449	red	1	right	wide	[""right""]	j
Risk	55	776	red	0.9	left	wide	[""left""]	f
Risk	56	912	red	0	left	wide	[""right""]	f
Risk	57	761	red	0.1	left	wide	[""right""]	f
Risk	58	1006	red	0.7	right	wide	[""right""]	j
Risk	59	1367	red	0.1	right	wide	[""left""]	j
