Blocktype	tnum	rt	color	winprob	Amb	choice	dist	side	response
Ambiguity	0	3479	red	0.5	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	1	3071	red	0.62	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	2	1850	red	0.74	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	3	1339	red	0.96	[0.25,0.75]	risk	skew	right	j
Ambiguity	4	1093	red	0.86	[0.25,0.75]	risk	skew	left	f
Ambiguity	5	2498	red	0.7	[0.25,0.75]	risk	skew	right	j
Ambiguity	6	2009	red	0.46	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	7	2090	red	0.58	[0.25,0.75]	risk	skew	right	j
Ambiguity	8	1159	red	0.52	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	9	1340	red	0.53	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	10	1303	red	0.59	[0.25,0.75]	risk	skew	right	j
Ambiguity	11	1794	red	0.56	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	12	1274	red	0.58	[0.25,0.75]	risk	skew	right	j
Ambiguity	13	1323	red	0.58	[0.25,0.75]	risk	skew	right	j
Ambiguity	14	956	red	0.57	[0.25,0.75]	risk	skew	right	j
Ambiguity	15	2320	red	0.5	[0,1]	risk	skew	right	j
Ambiguity	16	1407	red	0.41	[0,1]	risk	skew	left	f
Ambiguity	17	1094	red	0.27	[0,1]	Ambiguous	skew	right	f
Ambiguity	18	712	red	0.35	[0,1]	Ambiguous	skew	left	j
Ambiguity	19	891	red	0.45	[0,1]	Ambiguous	skew	left	j
Ambiguity	20	718	red	0.62	[0,1]	Ambiguous	skew	left	j
Ambiguity	21	1035	red	0.88	[0,1]	risk	skew	right	j
Ambiguity	22	815	red	0.76	[0,1]	risk	skew	right	j
Ambiguity	23	1732	red	0.56	[0,1]	risk	skew	left	f
Ambiguity	24	1059	red	0.27	[0,1]	Ambiguous	skew	left	j
Ambiguity	25	895	red	0.41	[0,1]	Ambiguous	skew	right	f
Ambiguity	26	1218	red	0.59	[0,1]	risk	skew	right	j
Ambiguity	27	950	red	0.49	[0,1]	Ambiguous	skew	left	j
