Blocktype	tnum	rt	color	winprob	Amb	choice	dist	side	response
Ambiguity	0	2209	green	0.5	[0.25,0.75]	risk	narrow	left	f
Ambiguity	1	3333	green	0.41	[0.25,0.75]	risk	narrow	right	j
Ambiguity	2	1877	green	0.25	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	3	4212	green	0.3	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	4	1637	green	0.4	[0.25,0.75]	risk	narrow	right	j
Ambiguity	5	1830	green	0.33	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	6	1889	green	0.37	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	7	1498	green	0.42	[0.25,0.75]	risk	narrow	left	f
Ambiguity	8	1903	green	0.38	[0.25,0.75]	risk	narrow	left	f
Ambiguity	9	1382	green	0.36	[0.25,0.75]	risk	narrow	right	j
Ambiguity	10	1843	green	0.32	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	11	NA	green	0.36	[0.25,0.75]	Ambiguous	narrow	right	
Ambiguity	12	1273	green	0.38	[0.25,0.75]	risk	narrow	left	f
Ambiguity	13	1478	green	0.34	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	14	2001	green	0.34	[0.25,0.75]	risk	narrow	left	f
Ambiguity	15	1645	green	0.5	[0,1]	risk	narrow	right	j
Ambiguity	16	1833	green	0.4	[0,1]	risk	narrow	left	f
Ambiguity	17	1194	green	0.23	[0,1]	Ambiguous	narrow	left	j
Ambiguity	18	1532	green	0.28	[0,1]	Ambiguous	narrow	right	f
Ambiguity	19	2074	green	0.39	[0,1]	risk	narrow	right	j
Ambiguity	20	1868	green	0.31	[0,1]	Ambiguous	narrow	left	j
Ambiguity	21	2152	green	0.33	[0,1]	Ambiguous	narrow	left	j
Ambiguity	22	1785	green	0.34	[0,1]	Ambiguous	narrow	left	j
Ambiguity	23	1028	green	0.4	[0,1]	risk	narrow	right	j
Ambiguity	24	1447	green	0.36	[0,1]	risk	narrow	left	f
Ambiguity	25	1662	green	0.32	[0,1]	Ambiguous	narrow	right	f
Ambiguity	26	1248	green	0.32	[0,1]	Ambiguous	narrow	right	f
Ambiguity	27	1502	green	0.35	[0,1]	risk	narrow	left	f
Ambiguity	28	1175	green	0.33	[0,1]	Ambiguous	narrow	right	f
Ambiguity	29	1864	green	0.34	[0,1]	Ambiguous	narrow	left	j
Ambiguity	30	3607	blue	0.5	[0.25,0.75]	risk	wide	right	j
Ambiguity	31	1905	blue	0.41	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	32	2260	blue	0.48	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	33	2154	blue	0.56	[0.25,0.75]	risk	wide	right	j
Ambiguity	34	1269	blue	0.53	[0.25,0.75]	risk	wide	right	j
Ambiguity	35	2181	blue	0.46	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	36	2070	blue	0.51	[0.25,0.75]	risk	wide	left	f
Ambiguity	37	1639	blue	0.48	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	38	1348	blue	0.46	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	39	1280	blue	0.45	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	40	1366	blue	0.45	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	41	865	blue	0.47	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	42	1658	blue	0.49	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	43	1554	blue	0.52	[0.25,0.75]	risk	wide	left	f
Ambiguity	44	1743	blue	0.5	[0.25,0.75]	risk	wide	right	j
Ambiguity	45	877	blue	0.5	[0,1]	risk	wide	right	j
Ambiguity	46	1081	blue	0.38	[0,1]	Ambiguous	wide	right	f
Ambiguity	47	1203	blue	0.44	[0,1]	Ambiguous	wide	right	f
Ambiguity	48	899	blue	0.51	[0,1]	risk	wide	right	j
Ambiguity	49	1931	blue	0.45	[0,1]	Ambiguous	wide	left	j
Ambiguity	50	868	blue	0.46	[0,1]	Ambiguous	wide	left	j
Ambiguity	51	1091	blue	0.5	[0,1]	risk	wide	right	j
Ambiguity	52	1259	blue	0.47	[0,1]	Ambiguous	wide	right	f
Ambiguity	53	899	blue	0.5	[0,1]	risk	wide	right	j
Ambiguity	54	2493	blue	0.5	[0,1]	risk	wide	left	f
Ambiguity	55	1251	blue	0.48	[0,1]	Ambiguous	wide	right	f
Ambiguity	56	1056	blue	0.49	[0,1]	Ambiguous	wide	right	f
Ambiguity	57	1322	blue	0.46	[0,1]	Ambiguous	wide	left	j
Ambiguity	58	968	blue	0.46	[0,1]	Ambiguous	wide	left	j
Ambiguity	59	947	blue	0.45	[0,1]	Ambiguous	wide	left	j
Ambiguity	60	2550	red	0.5	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	61	2870	red	0.62	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	62	859	red	0.76	[0.25,0.75]	risk	skew	right	j
Ambiguity	63	1396	red	0.69	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	64	1873	red	0.71	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	65	2627	red	0.79	[0.25,0.75]	risk	skew	left	f
Ambiguity	66	2088	red	0.74	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	67	1889	red	0.74	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	68	1001	red	0.73	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	69	1355	red	0.78	[0.25,0.75]	risk	skew	right	j
Ambiguity	70	1183	red	0.74	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	71	1448	red	0.75	[0.25,0.75]	risk	skew	right	j
Ambiguity	72	937	red	0.75	[0.25,0.75]	risk	skew	right	j
Ambiguity	73	904	red	0.75	[0.25,0.75]	risk	skew	right	j
Ambiguity	74	897	red	0.72	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	75	1223	red	0.5	[0,1]	Ambiguous	skew	left	j
Ambiguity	76	1007	red	0.58	[0,1]	Ambiguous	skew	left	j
Ambiguity	77	1286	red	0.73	[0,1]	Ambiguous	skew	right	f
Ambiguity	78	1586	red	0.97	[0,1]	risk	skew	right	j
Ambiguity	79	1465	red	0.84	[0,1]	risk	skew	right	j
Ambiguity	80	1459	red	0.68	[0,1]	Ambiguous	skew	right	f
Ambiguity	81	838	red	0.75	[0,1]	risk	skew	right	j
Ambiguity	82	2217	red	0.71	[0,1]	Ambiguous	skew	right	f
Ambiguity	83	1080	red	0.74	[0,1]	Ambiguous	skew	left	j
Ambiguity	84	963	red	0.79	[0,1]	risk	skew	left	f
Ambiguity	85	1080	red	0.77	[0,1]	risk	skew	right	j
Ambiguity	86	2000	red	0.76	[0,1]	risk	skew	right	j
Ambiguity	87	1032	red	0.73	[0,1]	Ambiguous	skew	left	j
Ambiguity	88	951	red	0.74	[0,1]	risk	skew	right	j
Ambiguity	89	1198	red	0.72	[0,1]	Ambiguous	skew	right	f
