Lot_color	dist	percent	value	order
R	skew	0	1	3
R	skew	10	2	3
R	skew	20	1	3
R	skew	30	0	3
R	skew	40	0	3
R	skew	50	2	3
R	skew	60	2	3
R	skew	70	5	3
R	skew	80	0	3
R	skew	90	3	3
R	skew	100	3	3
G	narrow	0	5	1
G	narrow	10	2	1
G	narrow	20	2	1
G	narrow	30	3	1
G	narrow	40	3	1
G	narrow	50	10	1
G	narrow	60	5	1
G	narrow	70	5	1
G	narrow	80	0	1
G	narrow	90	0	1
G	narrow	100	0	1
B	wide	0	3	2
B	wide	10	5	2
B	wide	20	3	2
B	wide	30	2	2
B	wide	40	1	2
B	wide	50	2	2
B	wide	60	2	2
B	wide	70	3	2
B	wide	80	1	2
B	wide	90	1	2
B	wide	100	5	2
