Blocktype	tnum	rt	color	winprob	Amb	RL_feedback	choice	dist	side	response
Learning	1	3333	green	0.5	[0,1]	win	Amb	norm	left	j
Learning	2	2574	green	0.59	[0,1]	win	risk	norm	right	j
Learning	3	1100	green	0.55	[0,1]	win	Amb	norm	left	j
Learning	4	1157	green	0.56	[0,1]	win	Amb	norm	right	f
Learning	5	669	green	0.6	[0,1]	win	risk	norm	left	f
Learning	6	1204	green	0.58	[0,1]	win	risk	norm	left	f
Learning	7	1346	green	0.55	[0,1]	win	risk	norm	right	j
Learning	8	571	green	0.5	[0,1]	win	Amb	norm	right	f
Learning	9	578	green	0.5	[0,1]	win	risk	norm	right	j
Learning	10	541	green	0.5	[0,1]	win	risk	norm	right	j
Learning	11	551	green	0.47	[0,1]	win	Amb	norm	left	j
Learning	12	503	green	0.47	[0,1]	win	Amb	norm	right	f
Learning	13	673	green	0.48	[0,1]	win	risk	norm	left	f
Learning	14	671	green	0.48	[0,1]	win	risk	norm	left	f
Learning	15	494	green	0.48	[0,1]	win	risk	norm	right	j
Learning	1	3331	blue	0.5	[0,1]	lose	risk	norm	right	j
Learning	2	1822	blue	0.4	[0,1]	lose	risk	norm	right	j
Learning	3	1319	blue	0.25	[0,1]	lose	Amb	norm	right	f
Learning	4	1435	blue	0.3	[0,1]	lose	Amb	norm	left	j
Learning	5	1582	blue	0.42	[0,1]	lose	risk	norm	right	j
Learning	6	1584	blue	0.34	[0,1]	lose	risk	norm	left	f
Learning	7	698	blue	0.27	[0,1]	lose	Amb	norm	left	j
Learning	8	519	blue	0.28	[0,1]	lose	Amb	norm	right	f
Learning	9	553	blue	0.34	[0,1]	lose	Amb	norm	right	f
Learning	10	500	blue	0.44	[0,1]	lose	Amb	norm	left	j
Learning	11	562	blue	0.59	[0,1]	lose	Amb	norm	left	j
Learning	12	577	blue	0.79	[0,1]	lose	Amb	norm	right	f
Learning	13	476	blue	1	[0,1]	lose	Amb	norm	left	j
Learning	14	527	blue	1	[0,1]	lose	Amb	norm	right	f
Learning	15	614	blue	1	[0,1]	lose	Amb	norm	right	f
Learning	1	3473	red	0.5	[0,1]	win	risk	norm	right	j
Learning	2	452	red	0.38	[0,1]	win	Amb	norm	left	j
Learning	3	514	red	0.41	[0,1]	win	risk	norm	left	f
Learning	4	456	red	0.37	[0,1]	win	risk	norm	left	f
Learning	5	632	red	0.34	[0,1]	win	risk	norm	left	f
Learning	6	553	red	0.29	[0,1]	win	risk	norm	right	j
Learning	7	1168	red	0.2	[0,1]	win	Amb	norm	left	j
Learning	8	953	red	0.23	[0,1]	win	Amb	norm	left	j
Learning	9	1536	red	0.29	[0,1]	win	risk	norm	left	f
Learning	10	907	red	0.26	[0,1]	win	risk	norm	left	f
Learning	11	1280	red	0.22	[0,1]	win	Amb	norm	left	j
Learning	12	1120	red	0.21	[0,1]	win	Amb	norm	left	j
Learning	13	1765	red	0.24	[0,1]	win	risk	norm	right	j
Learning	14	1433	red	0.22	[0,1]	win	Amb	norm	right	f
Learning	15	745	red	0.22	[0,1]	win	risk	norm	left	f
Learning	1	2141	red	0.5	[0,1]	lose	risk	norm	left	f
Learning	2	577	red	0.4	[0,1]	lose	risk	norm	left	f
Learning	3	638	red	0.23	[0,1]	lose	Amb	norm	right	f
Learning	4	459	red	0.28	[0,1]	lose	risk	norm	right	j
Learning	5	438	red	0.23	[0,1]	lose	risk	norm	right	j
Learning	6	525	red	0.16	[0,1]	lose	Amb	norm	right	f
Learning	7	524	red	0.17	[0,1]	lose	risk	norm	left	f
Learning	8	427	red	0.15	[0,1]	lose	risk	norm	right	j
Learning	9	597	red	0.11	[0,1]	lose	Amb	norm	left	j
Learning	10	762	red	0.14	[0,1]	lose	Amb	norm	left	j
Learning	11	563	red	0.13	[0,1]	lose	Amb	norm	right	f
Learning	12	607	red	0.16	[0,1]	lose	Amb	norm	right	f
Learning	13	493	red	0.17	[0,1]	lose	risk	norm	right	j
Learning	14	504	red	0.13	[0,1]	lose	risk	norm	right	j
Learning	15	430	red	0.09	[0,1]	lose	risk	norm	left	f
Learning	1	1528	green	0.5	[0,1]	lose	risk	norm	right	j
Learning	2	1074	green	0.4	[0,1]	lose	risk	norm	left	f
Learning	3	1058	green	0.26	[0,1]	lose	Amb	norm	right	f
Learning	4	886	green	0.31	[0,1]	lose	Amb	norm	left	j
Learning	5	1047	green	0.44	[0,1]	lose	risk	norm	left	f
Learning	6	641	green	0.37	[0,1]	lose	risk	norm	left	f
Learning	7	849	green	0.3	[0,1]	lose	risk	norm	right	j
Learning	8	632	green	0.16	[0,1]	lose	Amb	norm	right	f
Learning	9	597	green	0.2	[0,1]	lose	Amb	norm	left	j
Learning	10	495	green	0.27	[0,1]	lose	risk	norm	left	f
Learning	11	710	green	0.21	[0,1]	lose	Amb	norm	left	j
Learning	12	828	green	0.2	[0,1]	lose	Amb	norm	left	j
Learning	13	821	green	0.24	[0,1]	lose	Amb	norm	left	j
Learning	14	624	green	0.31	[0,1]	lose	risk	norm	left	f
Learning	15	866	green	0.28	[0,1]	lose	risk	norm	left	f
Learning	1	2537	blue	0.5	[0,1]	win	risk	norm	left	f
Learning	2	589	blue	0.39	[0,1]	win	risk	norm	left	f
Learning	3	442	blue	0.22	[0,1]	win	risk	norm	right	j
Learning	4	490	blue	0	[0,1]	win	Amb	norm	left	j
Learning	5	417	blue	0.11	[0,1]	win	risk	norm	right	j
Learning	6	452	blue	0.04	[0,1]	win	Amb	norm	right	f
Learning	7	434	blue	0.05	[0,1]	win	risk	norm	left	f
Learning	8	382	blue	0.04	[0,1]	win	risk	norm	right	j
Learning	9	460	blue	0	[0,1]	win	risk	norm	right	j
Learning	10	458	blue	0	[0,1]	win	risk	norm	left	f
Learning	11	619	blue	0	[0,1]	win	risk	norm	right	j
Learning	12	481	blue	0	[0,1]	win	risk	norm	left	f
Learning	13	542	blue	0	[0,1]	win	Amb	norm	right	f
Learning	14	458	blue	0.05	[0,1]	win	risk	norm	right	j
Learning	15	633	blue	0	[0,1]	win	Amb	norm	right	f
