Lot_color	dist	percent	value	order
R	skew	0	0	1
R	skew	10	1	1
R	skew	20	1	1
R	skew	30	0	1
R	skew	40	4	1
R	skew	50	0	1
R	skew	60	1	1
R	skew	70	1	1
R	skew	80	2	1
R	skew	90	2	1
R	skew	100	0	1
G	wide	0	3	3
G	wide	10	3	3
G	wide	20	0	3
G	wide	30	4	3
G	wide	40	2	3
G	wide	50	1	3
G	wide	60	3	3
G	wide	70	1	3
G	wide	80	2	3
G	wide	90	3	3
G	wide	100	0	3
B	narrow	0	5	2
B	narrow	10	0	2
B	narrow	20	4	2
B	narrow	30	5	2
B	narrow	40	1	2
B	narrow	50	1	2
B	narrow	60	3	2
B	narrow	70	5	2
B	narrow	80	2	2
B	narrow	90	5	2
B	narrow	100	4	2
