Lot_color	dist	percent	value	order
R	skew	0	0	3
R	skew	10	0	3
R	skew	20	1	3
R	skew	30	2	3
R	skew	40	0	3
R	skew	50	6	3
R	skew	60	4	3
R	skew	70	0	3
R	skew	80	1	3
R	skew	90	2	3
R	skew	100	1	3
G	wide	0	0	1
G	wide	10	0	1
G	wide	20	0	1
G	wide	30	0	1
G	wide	40	1	1
G	wide	50	2	1
G	wide	60	4	1
G	wide	70	2	1
G	wide	80	0	1
G	wide	90	0	1
G	wide	100	0	1
B	narrow	0	4	2
B	narrow	10	0	2
B	narrow	20	0	2
B	narrow	30	0	2
B	narrow	40	0	2
B	narrow	50	5	2
B	narrow	60	2	2
B	narrow	70	0	2
B	narrow	80	2	2
B	narrow	90	1	2
B	narrow	100	2	2
