Lot_color	dist	percent	value	order
R	wide	0	4	3
R	wide	10	3	3
R	wide	20	2	3
R	wide	30	2	3
R	wide	40	1	3
R	wide	50	1	3
R	wide	60	1	3
R	wide	70	2	3
R	wide	80	2	3
R	wide	90	2	3
R	wide	100	4	3
G	narrow	0	0	1
G	narrow	10	1	1
G	narrow	20	3	1
G	narrow	30	5	1
G	narrow	40	7	1
G	narrow	50	8	1
G	narrow	60	4	1
G	narrow	70	3	1
G	narrow	80	2	1
G	narrow	90	1	1
G	narrow	100	0	1
B	skew	0	0	2
B	skew	10	1	2
B	skew	20	2	2
B	skew	30	2	2
B	skew	40	3	2
B	skew	50	4	2
B	skew	60	5	2
B	skew	70	6	2
B	skew	80	8	2
B	skew	90	4	2
B	skew	100	1	2
