Lot_color	dist	percent	value	order
R	narrow	0	0	1
R	narrow	10	2	1
R	narrow	20	4	1
R	narrow	30	4	1
R	narrow	40	4	1
R	narrow	50	6	1
R	narrow	60	4	1
R	narrow	70	3	1
R	narrow	80	3	1
R	narrow	90	1	1
R	narrow	100	0	1
G	skew	0	0	3
G	skew	10	0	3
G	skew	20	2	3
G	skew	30	0	3
G	skew	40	3	3
G	skew	50	2	3
G	skew	60	4	3
G	skew	70	4	3
G	skew	80	4	3
G	skew	90	3	3
G	skew	100	3	3
B	wide	0	4	2
B	wide	10	4	2
B	wide	20	2	2
B	wide	30	3	2
B	wide	40	4	2
B	wide	50	5	2
B	wide	60	3	2
B	wide	70	3	2
B	wide	80	2	2
B	wide	90	3	2
B	wide	100	3	2
