Lot_color	dist	percent	value	order
R	narrow	0	1	2
R	narrow	10	1	2
R	narrow	20	0	2
R	narrow	30	1	2
R	narrow	40	2	2
R	narrow	50	1	2
R	narrow	60	1	2
R	narrow	70	1	2
R	narrow	80	0	2
R	narrow	90	2	2
R	narrow	100	0	2
G	wide	0	0	3
G	wide	10	1	3
G	wide	20	0	3
G	wide	30	0	3
G	wide	40	1	3
G	wide	50	2	3
G	wide	60	2	3
G	wide	70	2	3
G	wide	80	0	3
G	wide	90	2	3
G	wide	100	0	3
B	skew	0	0	1
B	skew	10	0	1
B	skew	20	0	1
B	skew	30	2	1
B	skew	40	1	1
B	skew	50	2	1
B	skew	60	2	1
B	skew	70	2	1
B	skew	80	1	1
B	skew	90	0	1
B	skew	100	0	1
