Blocktype	tnum	rt	color	winprob	Amb	RL_feedback	choice	dist	side	response
Learning	1	3374	blue	0.5	[0,1]	lose	risk	norm	right	j
Learning	2	1916	blue	0.39	[0,1]	lose	Amb	norm	left	j
Learning	3	1457	blue	0.44	[0,1]	lose	Amb	norm	left	j
Learning	4	1353	blue	0.54	[0,1]	lose	risk	norm	right	j
Learning	5	1174	blue	0.51	[0,1]	lose	risk	norm	right	j
Learning	6	1228	blue	0.46	[0,1]	lose	Amb	norm	left	j
Learning	7	1185	blue	0.46	[0,1]	lose	Amb	norm	left	j
Learning	8	704	blue	0.49	[0,1]	lose	Amb	norm	left	j
Learning	9	1650	blue	0.56	[0,1]	lose	risk	norm	right	j
Learning	10	4488	blue	0.54	[0,1]	lose	Amb	norm	right	f
Learning	11	957	blue	0.57	[0,1]	lose	risk	norm	right	j
Learning	12	1447	blue	0.57	[0,1]	lose	risk	norm	right	j
Learning	13	1406	blue	0.55	[0,1]	lose	risk	norm	right	j
Learning	14	1471	blue	0.52	[0,1]	lose	Amb	norm	left	j
Learning	15	1901	blue	0.52	[0,1]	lose	Amb	norm	left	j
Learning	1	2923	green	0.5	[0,1]	win	risk	norm	right	j
Learning	2	1398	green	0.38	[0,1]	win	Amb	norm	left	j
Learning	3	3314	green	0.41	[0,1]	win	risk	norm	left	f
Learning	4	1326	green	0.39	[0,1]	win	risk	norm	right	j
Learning	5	993	green	0.33	[0,1]	win	Amb	norm	right	f
Learning	6	757	green	0.35	[0,1]	win	Amb	norm	right	f
Learning	7	1067	green	0.37	[0,1]	win	Amb	norm	right	f
Learning	8	1374	green	0.41	[0,1]	win	Amb	norm	left	j
Learning	9	938	green	0.45	[0,1]	win	Amb	norm	left	j
Learning	10	2195	green	0.51	[0,1]	win	risk	norm	right	j
Learning	11	924	green	0.47	[0,1]	win	Amb	norm	left	j
Learning	12	844	green	0.46	[0,1]	win	Amb	norm	right	f
Learning	13	949	green	0.49	[0,1]	win	risk	norm	right	j
Learning	14	1042	green	0.46	[0,1]	win	Amb	norm	left	j
Learning	15	805	green	0.48	[0,1]	win	risk	norm	left	f
Learning	1	1205	green	0.5	[0,1]	lose	risk	norm	right	j
Learning	2	862	green	0.38	[0,1]	lose	Amb	norm	left	j
Learning	3	917	green	0.44	[0,1]	lose	Amb	norm	right	f
Learning	4	1053	green	0.48	[0,1]	lose	Amb	norm	left	j
Learning	5	1225	green	0.58	[0,1]	lose	risk	norm	right	j
Learning	6	1007	green	0.5	[0,1]	lose	risk	norm	left	f
Learning	7	1102	green	0.43	[0,1]	lose	Amb	norm	right	f
Learning	8	1328	green	0.44	[0,1]	lose	Amb	norm	right	f
Learning	9	905	green	0.48	[0,1]	lose	Amb	norm	left	j
Learning	10	1069	green	0.55	[0,1]	lose	risk	norm	right	j
Learning	11	1209	green	0.49	[0,1]	lose	risk	norm	right	j
Learning	12	653	green	0.4	[0,1]	lose	Amb	norm	right	f
Learning	13	1043	green	0.46	[0,1]	lose	Amb	norm	right	f
Learning	14	1227	green	0.53	[0,1]	lose	risk	norm	left	f
Learning	15	978	green	0.51	[0,1]	lose	risk	norm	right	j
Learning	1	1665	red	0.5	[0,1]	win	risk	norm	left	f
Learning	2	1690	red	0.4	[0,1]	win	Amb	norm	right	f
Learning	3	1368	red	0.47	[0,1]	win	Amb	norm	left	j
Learning	4	1846	red	0.51	[0,1]	win	risk	norm	right	j
Learning	5	1247	red	0.48	[0,1]	win	Amb	norm	left	j
Learning	6	837	red	0.5	[0,1]	win	Amb	norm	right	f
Learning	7	1302	red	0.54	[0,1]	win	risk	norm	right	j
Learning	8	1471	red	0.52	[0,1]	win	risk	norm	right	j
Learning	9	1140	red	0.51	[0,1]	win	risk	norm	right	j
Learning	10	1339	red	0.47	[0,1]	win	Amb	norm	left	j
Learning	11	1391	red	0.48	[0,1]	win	Amb	norm	right	f
Learning	12	1357	red	0.48	[0,1]	win	Amb	norm	left	j
Learning	13	997	red	0.54	[0,1]	win	risk	norm	left	f
Learning	14	1534	red	0.51	[0,1]	win	Amb	norm	left	j
Learning	15	1401	red	0.52	[0,1]	win	risk	norm	right	j
Learning	1	1423	red	0.5	[0,1]	lose	risk	norm	left	f
Learning	2	760	red	0.39	[0,1]	lose	Amb	norm	left	j
Learning	3	874	red	0.43	[0,1]	lose	Amb	norm	right	f
Learning	4	984	red	0.47	[0,1]	lose	Amb	norm	right	f
Learning	5	1024	red	0.6	[0,1]	lose	risk	norm	left	f
Learning	6	1113	red	0.53	[0,1]	lose	risk	norm	right	j
Learning	7	874	red	0.44	[0,1]	lose	Amb	norm	left	j
Learning	8	829	red	0.48	[0,1]	lose	Amb	norm	left	j
Learning	9	846	red	0.55	[0,1]	lose	risk	norm	left	f
Learning	10	1114	red	0.51	[0,1]	lose	risk	norm	left	f
Learning	11	759	red	0.44	[0,1]	lose	Amb	norm	left	j
Learning	12	677	red	0.44	[0,1]	lose	Amb	norm	right	f
Learning	13	1045	red	0.46	[0,1]	lose	Amb	norm	right	f
Learning	14	744	red	0.53	[0,1]	lose	risk	norm	right	j
Learning	15	967	red	0.49	[0,1]	lose	Amb	norm	right	f
Learning	1	1578	blue	0.5	[0,1]	win	risk	norm	left	f
Learning	2	1672	blue	0.41	[0,1]	win	Amb	norm	left	j
Learning	3	1750	blue	0.48	[0,1]	win	Amb	norm	left	j
Learning	4	1427	blue	0.55	[0,1]	win	risk	norm	right	j
Learning	5	1220	blue	0.52	[0,1]	win	Amb	norm	left	j
Learning	6	1781	blue	0.56	[0,1]	win	risk	norm	left	f
Learning	7	1049	blue	0.54	[0,1]	win	risk	norm	left	f
Learning	8	1578	blue	0.52	[0,1]	win	risk	norm	left	f
Learning	9	1382	blue	0.48	[0,1]	win	Amb	norm	right	f
Learning	10	1764	blue	0.48	[0,1]	win	Amb	norm	right	f
Learning	11	1183	blue	0.47	[0,1]	win	Amb	norm	right	f
Learning	12	2781	blue	0.48	[0,1]	win	Amb	norm	left	j
Learning	13	1556	blue	0.52	[0,1]	win	risk	norm	right	j
Learning	14	834	blue	0.48	[0,1]	win	Amb	norm	right	f
Learning	15	971	blue	0.49	[0,1]	win	Amb	norm	left	j
