Lot_color	dist	percent	value	order
R	wide	0	5	1
R	wide	10	5	1
R	wide	20	5	1
R	wide	30	5	1
R	wide	40	5	1
R	wide	50	0	1
R	wide	60	15	1
R	wide	70	25	1
R	wide	80	20	1
R	wide	90	10	1
R	wide	100	5	1
G	skew	0	5	3
G	skew	10	10	3
G	skew	20	0	3
G	skew	30	10	3
G	skew	40	10	3
G	skew	50	10	3
G	skew	60	40	3
G	skew	70	10	3
G	skew	80	5	3
G	skew	90	5	3
G	skew	100	5	3
B	narrow	0	5	2
B	narrow	10	0	2
B	narrow	20	0	2
B	narrow	30	5	2
B	narrow	40	15	2
B	narrow	50	10	2
B	narrow	60	10	2
B	narrow	70	10	2
B	narrow	80	5	2
B	narrow	90	5	2
B	narrow	100	5	2
