Lot_color	dist	percent	value	order
R	skew	0	0	3
R	skew	10	0	3
R	skew	20	0	3
R	skew	30	0	3
R	skew	40	1	3
R	skew	50	3	3
R	skew	60	1	3
R	skew	70	2	3
R	skew	80	1	3
R	skew	90	1	3
R	skew	100	0	3
G	wide	0	0	1
G	wide	10	0	1
G	wide	20	1	1
G	wide	30	2	1
G	wide	40	1	1
G	wide	50	1	1
G	wide	60	1	1
G	wide	70	1	1
G	wide	80	0	1
G	wide	90	0	1
G	wide	100	0	1
B	narrow	0	0	2
B	narrow	10	0	2
B	narrow	20	2	2
B	narrow	30	2	2
B	narrow	40	2	2
B	narrow	50	1	2
B	narrow	60	0	2
B	narrow	70	1	2
B	narrow	80	0	2
B	narrow	90	0	2
B	narrow	100	0	2
