Blocktype	tnum	rt	color	winprob	Amb	choice	dist	side	response
Ambiguity	0	3021	green	0.5	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	1	2617	green	0.57	[0.25,0.75]	risk	narrow	left	f
Ambiguity	2	1851	green	0.52	[0.25,0.75]	risk	narrow	left	f
Ambiguity	3	2599	green	0.43	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	4	2441	green	0.45	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	5	2072	green	0.53	[0.25,0.75]	risk	narrow	right	j
Ambiguity	6	2845	green	0.5	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	7	1744	green	0.52	[0.25,0.75]	risk	narrow	right	j
Ambiguity	8	2202	green	0.51	[0.25,0.75]	risk	narrow	right	j
Ambiguity	9	1986	green	0.49	[0.25,0.75]	Ambiguous	narrow	right	f
Ambiguity	10	1619	green	0.48	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	11	1244	green	0.49	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	12	1837	green	0.47	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	13	1696	green	0.48	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	14	1426	green	0.48	[0.25,0.75]	Ambiguous	narrow	left	j
Ambiguity	15	2420	green	0.5	[0,1]	risk	narrow	right	j
Ambiguity	16	2454	green	0.38	[0,1]	Ambiguous	narrow	right	f
Ambiguity	17	1229	green	0.4	[0,1]	Ambiguous	narrow	left	j
Ambiguity	18	1029	green	0.45	[0,1]	Ambiguous	narrow	left	j
Ambiguity	19	1371	green	0.53	[0,1]	risk	narrow	left	f
Ambiguity	20	2185	green	0.45	[0,1]	Ambiguous	narrow	left	j
Ambiguity	21	2716	green	0.46	[0,1]	Ambiguous	narrow	right	f
Ambiguity	22	2134	green	0.5	[0,1]	risk	narrow	right	j
Ambiguity	23	1758	green	0.49	[0,1]	Ambiguous	narrow	left	j
Ambiguity	24	1996	green	0.5	[0,1]	risk	narrow	right	j
Ambiguity	25	1691	green	0.5	[0,1]	risk	narrow	right	j
Ambiguity	26	1341	green	0.47	[0,1]	Ambiguous	narrow	left	j
Ambiguity	27	1385	green	0.47	[0,1]	Ambiguous	narrow	right	f
Ambiguity	28	2291	green	0.5	[0,1]	risk	narrow	right	j
Ambiguity	29	911	green	0.49	[0,1]	Ambiguous	narrow	right	f
Ambiguity	30	1848	blue	0.5	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	31	3065	blue	0.6	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	32	2166	blue	0.74	[0.25,0.75]	risk	skew	left	f
Ambiguity	33	2273	blue	0.66	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	34	2024	blue	0.69	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	35	2043	blue	0.73	[0.25,0.75]	risk	skew	left	f
Ambiguity	36	1833	blue	0.68	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	37	2057	blue	0.67	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	38	2693	blue	0.68	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	39	2412	blue	0.7	[0.25,0.75]	risk	skew	left	f
Ambiguity	40	1269	blue	0.66	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	41	1550	blue	0.64	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	42	1135	blue	0.64	[0.25,0.75]	Ambiguous	skew	right	f
Ambiguity	43	1979	blue	0.64	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	44	1886	blue	0.67	[0.25,0.75]	Ambiguous	skew	left	j
Ambiguity	45	1275	blue	0.5	[0,1]	Ambiguous	skew	left	j
Ambiguity	46	1114	blue	0.62	[0,1]	Ambiguous	skew	left	j
Ambiguity	47	1600	blue	0.77	[0,1]	risk	skew	left	f
Ambiguity	48	1925	blue	0.68	[0,1]	Ambiguous	skew	right	f
Ambiguity	49	1945	blue	0.71	[0,1]	risk	skew	left	f
Ambiguity	50	907	blue	0.69	[0,1]	Ambiguous	skew	left	j
Ambiguity	51	1641	blue	0.72	[0,1]	risk	skew	right	j
Ambiguity	52	1018	blue	0.71	[0,1]	risk	skew	right	j
Ambiguity	53	912	blue	0.68	[0,1]	Ambiguous	skew	right	f
Ambiguity	54	1211	blue	0.65	[0,1]	Ambiguous	skew	left	j
Ambiguity	55	1985	blue	0.67	[0,1]	Ambiguous	skew	right	f
Ambiguity	56	1216	blue	0.67	[0,1]	Ambiguous	skew	right	f
Ambiguity	57	1171	blue	0.66	[0,1]	Ambiguous	skew	left	j
Ambiguity	58	995	blue	0.66	[0,1]	Ambiguous	skew	right	f
Ambiguity	59	783	blue	0.66	[0,1]	Ambiguous	skew	left	j
Ambiguity	60	3044	red	0.5	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	61	1552	red	0.62	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	62	1322	red	0.78	[0.25,0.75]	risk	wide	left	f
Ambiguity	63	2047	red	0.69	[0.25,0.75]	risk	wide	left	f
Ambiguity	64	1332	red	0.59	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	65	1305	red	0.65	[0.25,0.75]	risk	wide	left	f
Ambiguity	66	1077	red	0.61	[0.25,0.75]	risk	wide	left	f
Ambiguity	67	1226	red	0.56	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	68	1534	red	0.59	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	69	1812	red	0.64	[0.25,0.75]	risk	wide	left	f
Ambiguity	70	701	red	0.63	[0.25,0.75]	risk	wide	left	f
Ambiguity	71	478	red	0.62	[0.25,0.75]	risk	wide	left	f
Ambiguity	72	1233	red	0.58	[0.25,0.75]	risk	wide	right	j
Ambiguity	73	3030	red	0.53	[0.25,0.75]	Ambiguous	wide	right	f
Ambiguity	74	1353	red	0.56	[0.25,0.75]	Ambiguous	wide	left	j
Ambiguity	75	1098	red	0.5	[0,1]	Ambiguous	wide	left	j
Ambiguity	76	2346	red	0.6	[0,1]	risk	wide	right	j
Ambiguity	77	1732	red	0.56	[0,1]	Ambiguous	wide	right	f
Ambiguity	78	1235	red	0.61	[0,1]	risk	wide	right	j
Ambiguity	79	2375	red	0.6	[0,1]	risk	wide	right	j
Ambiguity	80	1290	red	0.56	[0,1]	Ambiguous	wide	right	f
Ambiguity	81	1057	red	0.56	[0,1]	Ambiguous	wide	right	f
Ambiguity	82	754	red	0.54	[0,1]	Ambiguous	wide	right	f
Ambiguity	83	1127	red	0.55	[0,1]	Ambiguous	wide	left	j
Ambiguity	84	1023	red	0.56	[0,1]	Ambiguous	wide	left	j
Ambiguity	85	855	red	0.58	[0,1]	Ambiguous	wide	left	j
Ambiguity	86	1812	red	0.65	[0,1]	risk	wide	right	j
Ambiguity	87	1059	red	0.6	[0,1]	risk	wide	right	j
Ambiguity	88	1348	red	0.55	[0,1]	Ambiguous	wide	left	j
Ambiguity	89	1587	red	0.6	[0,1]	risk	wide	right	j
