Lot_color	dist	percent	value	order
R	narrow	0	2	2
R	narrow	10	2	2
R	narrow	20	1	2
R	narrow	30	1	2
R	narrow	40	2	2
R	narrow	50	2	2
R	narrow	60	2	2
R	narrow	70	3	2
R	narrow	80	3	2
R	narrow	90	2	2
R	narrow	100	2	2
G	skew	0	0	1
G	skew	10	2	1
G	skew	20	2	1
G	skew	30	3	1
G	skew	40	2	1
G	skew	50	3	1
G	skew	60	5	1
G	skew	70	6	1
G	skew	80	3	1
G	skew	90	2	1
G	skew	100	3	1
B	wide	0	4	3
B	wide	10	3	3
B	wide	20	3	3
B	wide	30	3	3
B	wide	40	4	3
B	wide	50	5	3
B	wide	60	5	3
B	wide	70	5	3
B	wide	80	6	3
B	wide	90	6	3
B	wide	100	6	3
