Lot_color	dist	percent	value	order
R	skew	0	1	3
R	skew	10	1	3
R	skew	20	2	3
R	skew	30	1	3
R	skew	40	3	3
R	skew	50	1	3
R	skew	60	2	3
R	skew	70	3	3
R	skew	80	1	3
R	skew	90	2	3
R	skew	100	3	3
G	narrow	0	1	2
G	narrow	10	1	2
G	narrow	20	2	2
G	narrow	30	2	2
G	narrow	40	2	2
G	narrow	50	3	2
G	narrow	60	2	2
G	narrow	70	2	2
G	narrow	80	3	2
G	narrow	90	2	2
G	narrow	100	2	2
B	wide	0	2	1
B	wide	10	1	1
B	wide	20	1	1
B	wide	30	1	1
B	wide	40	2	1
B	wide	50	3	1
B	wide	60	2	1
B	wide	70	3	1
B	wide	80	2	1
B	wide	90	2	1
B	wide	100	1	1
