Lot_color	dist	percent	value	order
R	skew	0	0	3
R	skew	10	0	3
R	skew	20	0	3
R	skew	30	0	3
R	skew	40	0	3
R	skew	50	0	3
R	skew	60	10	3
R	skew	70	35	3
R	skew	80	40	3
R	skew	90	15	3
R	skew	100	0	3
G	narrow	0	0	2
G	narrow	10	0	2
G	narrow	20	0	2
G	narrow	30	0	2
G	narrow	40	5	2
G	narrow	50	40	2
G	narrow	60	30	2
G	narrow	70	20	2
G	narrow	80	5	2
G	narrow	90	0	2
G	narrow	100	0	2
B	wide	0	20	1
B	wide	10	15	1
B	wide	20	10	1
B	wide	30	0	1
B	wide	40	0	1
B	wide	50	0	1
B	wide	60	0	1
B	wide	70	0	1
B	wide	80	20	1
B	wide	90	15	1
B	wide	100	20	1
