Blocktype	tnum	rt	color	winprob	Amb	RL_feedback	choice	dist	side	response
Learning	1	1399	blue	0.5	[0,1]	win	Amb	norm	left	j
Learning	2	1687	blue	0.61	[0,1]	win	risk	norm	right	j
Learning	3	2134	blue	0.54	[0,1]	win	Amb	norm	left	j
Learning	4	1270	blue	0.55	[0,1]	win	risk	norm	right	j
Learning	5	635	blue	0.52	[0,1]	win	risk	norm	left	f
Learning	6	702	blue	0.49	[0,1]	win	Amb	norm	left	j
Learning	7	714	blue	0.49	[0,1]	win	Amb	norm	right	f
Learning	8	1530	blue	0.52	[0,1]	win	risk	norm	left	f
Learning	9	1677	blue	0.49	[0,1]	win	Amb	norm	left	j
Learning	10	828	blue	0.49	[0,1]	win	Amb	norm	right	f
Learning	11	699	blue	0.48	[0,1]	win	Amb	norm	left	j
Learning	12	850	blue	0.46	[0,1]	win	Amb	norm	right	f
Learning	13	693	blue	0.44	[0,1]	win	Amb	norm	left	j
Learning	14	507	blue	0.48	[0,1]	win	Amb	norm	right	f
Learning	15	621	blue	0.49	[0,1]	win	Amb	norm	right	f
Learning	1	2231	red	0.5	[0,1]	lose	risk	norm	left	f
Learning	2	3613	red	0.39	[0,1]	lose	Amb	norm	left	j
Learning	3	2317	red	0.43	[0,1]	lose	Amb	norm	right	f
Learning	4	1013	red	0.51	[0,1]	lose	risk	norm	right	j
Learning	5	507	red	0.48	[0,1]	lose	Amb	norm	right	f
Learning	6	704	red	0.47	[0,1]	lose	Amb	norm	right	f
Learning	7	813	red	0.51	[0,1]	lose	Amb	norm	left	j
Learning	8	874	red	0.52	[0,1]	lose	risk	norm	right	j
Learning	9	572	red	0.51	[0,1]	lose	risk	norm	right	j
Learning	10	966	red	0.49	[0,1]	lose	Amb	norm	left	j
Learning	11	1511	red	0.48	[0,1]	lose	Amb	norm	right	f
Learning	12	983	red	0.47	[0,1]	lose	Amb	norm	left	j
Learning	13	868	red	0.52	[0,1]	lose	risk	norm	right	j
Learning	14	826	red	0.48	[0,1]	lose	Amb	norm	left	j
Learning	15	585	red	0.48	[0,1]	lose	Amb	norm	right	f
Learning	1	2312	blue	0.5	[0,1]	lose	risk	norm	left	f
Learning	2	611	blue	0.4	[0,1]	lose	Amb	norm	left	j
Learning	3	2405	blue	0.43	[0,1]	lose	Amb	norm	right	f
