participant_id	SFQ1	SFQ2	SFQ3	SFQ4	SFQ5	SFQ6	SFQ7
sub-5f8a1fcf2773900d456a3e70	Yes	3,000	june 2020	An impersonator (fake government, business, love interest, grandchild, etc)	company was falsely advertisign they were a moving company when they were a broker company. asked for deposits and when the time came to move they didnt show up.	5000	0
sub-62e9c91168f8d1ff048964e9	Yes	5000	1994	Job, investment, or money making opportunity	it was a scam	5000	0
sub-6428f7ac297e312f7262d93b	No					none	none
sub-6365ab361b71daa9f0eed7bd	NA	NA	NA	NA	NA	NA	NA
sub-615859547c3d088e8fa5384f	Yes	1500	07/2019	Credit, debt, or loan	My credit card go hacked	1500	0
sub-5d7c49ec90d1320001d7cbc7	No					0	0
sub-62963dcc7beb938157b706ed	No					0	0
sub-595727bd7c76640001aa8f6e	No			Other not described		N/A	N/A
sub-5fc448edefc38a760096bb00	No					I've never had this happen to me.	I haven't lost any money.
sub-63b74544b789eed26e5670dc	No					0	0
sub-633fd06a2224400c957c8ef7	No					0	0
sub-63d413bee28d5ec9cbe8ac58	No					$0	$0
sub-61007fcba727114e471e0b78	No					$144	$0
sub-60bac4eb11e08e852fd030ab	No					0	0
sub-5a95fee189de8200013eddd4	No					0	0
sub-5e25ab331c55ad7f7e8829e1	No					0	0
sub-5d28ec37d7d4940015e62beb	No					0	0
sub-5ec97fd040ce7448f367784b	No	0	0	Other not described	no	0	0
sub-6310a8e72d2a091bb08a0c97	No					0	0
sub-5d793a152df8ed001645ed7f	No					0	0
sub-5731e4005b8b06000f7e36b3	No					0	0
sub-5bd6656a669ee1000145304a	Yes	2600	August 2022	Other not described	False Identity of person I was trying to rent from.	2600	2600
sub-56a3d5f951212a000d64c2b9	Yes	100	2002	Job, investment, or money making opportunity	hired to write content. was not paid.	100	0
sub-63d4d6434407b2b392e65863	No					0	0
sub-5ff38b5a46872e981d2f7bb2	NA	NA	NA	NA	NA	NA	NA
sub-5c49d511cdb1b7000103af85	No					0	0
sub-5aeab16d0335e200019eae75	No					0	0
sub-5be2beac398f560001a58df7	No					0	0
sub-60f5dc6cba19bf6145b8c921	No					0	0
sub-60fcfde8842d3a8a5a139726	No			Other not described	not any 	not any 	not any
sub-5e6fd3293c76d25a3ca8b384	No					None	None
sub-5cd321750316ed0017c81bcd	No					0	0
sub-62ff8aa20b2d8c0e359e9799	No	Not applicable	Not applicable		Not applicable	0	0
sub-60abdc82ec2d1e548b986424	No	0	n/a	Other not described	n/a	0	0
sub-5e2d96d3bc554937d1b3917a	No					200	0
sub-56802e5fc5767f00121cc6a0	Yes	3000	1999	Auto sale or repair	Son told me to take over the payments on his Jeep and it was not over 3,000.	4000	0
sub-62b35a7d9d9cd966ebcf3ef8	No			Other not described		0	0
sub-5ddae85b393bd3a44d7cbaaa	Yes	150	2018	Credit, debt, or loan	Someone gained access to my target charge card	150	0
sub-5bdc8d12b2fff7000189b6f8	No					0	0
sub-5e7146ee69a3f1061774803b	No					100	30
sub-5fb9b9c1c62f408e51e09e32	Yes	3,500 but I didn't lose it because the bank caught it.	15 years ago	Credit, debt, or loan	Someone in France tried to buy musical instruments at a music store and my bank caught it and I was living in Alaska at the time but we had recently bought our daughter airplane tickets online.	0	0
sub-5bca53970f10750001d75a8d	No	0				0	0
sub-63e4659066d57da391a04e5f	No					0	0.00
sub-637cef64a7b9fcc38ac1425c	NA	NA	NA	NA	NA	NA	NA
sub-5e13542bc12a3699bbdc8753	No					0	0
sub-5e544727059e3744ccdd4c3b	No					0	0
sub-611c31c77df20ecc6881cc44	No			Other not described	no	no	no
sub-5c79608452e62f00169b1fe6	No					0	0
sub-6234dbba467fabd56fa59e1a	Yes	150000	15 years ago	Other not described	not opening old wounds here.	200000	20000
sub-6081ca47eeed1bb51c1d7f7b	NA	NA	NA	NA	NA	NA	NA
sub-637d4793730be3ac44f5a4a5	No					NA	NA
sub-63c0e1b1ee5ca75f61e3b2e1	No					0	0
sub-5f5eb22e58c9fb7782a6e90c	No					0	0
sub-5fb16308dc5973607fa3041c	No			Other not described	none	0	0
sub-60d7558fd3a01169626ae963	No					0	0
sub-600319e3a3b1a337cab57a3e	No					0	0
sub-55aeaeb3fdf99b5c769f1f7c	No					0	0
sub-64270a5159f257ca7fb39155	Yes	50,000,000.00	2012	Other not described	family member 	50,000,000.00	0
sub-5d8aa95dd06260000179442b	Yes	10	2022	Sweepstakes, prize, lottery	p;aid 10 to entersweepstake	no	10
sub-639e0331bc3cc615f5a3dd89	NA	NA	NA	NA	NA	NA	NA
sub-5a0efb83ab721b0001ef8509	No	0	n/a	Other not described	n/a	0	0
sub-639dc966f953a42bc397c24b	No			Job, investment, or money making opportunity		2000	100
sub-55b9a9b0fdf99b6906d2aba4	No					0	0
sub-5deb638bff7f7126d6fb5142	No					0	0
sub-644f255ec4f58fe559261911	Yes	1000	2020	Other not described	ID Theft	1000	0
sub-5c239f96da51990001e21d97	No					0	0
sub-5dd3eb4bc0823f3d043b96fb	No					0	0
sub-62897d2024f826ea90b7efa1	No					0	0
sub-64301757c18367c5ec9582fd	No					0	0
sub-5c365b5e8821900001b3876c	No					0	0
sub-58a2952076c5b7000166150a	No					 0	0
sub-5bf4afe0b8e9f800014c9c0b	No					no	0
sub-61fa94015719bc09cb834e2e	NA	NA	NA	NA	NA	NA	NA
sub-6134d9cf96a9c6192e24866d	No					0	0
sub-5dd39758cf8e7e38d9ce47b5	No					500	75
sub-62f269f2a7751126ffb96a4c	No	0	n/a		n/a	0	0
sub-56c8915edfea6c000cb29c98	No					0	0
sub-56ad40ce5ea7aa000cbe1947	No	0				0	0
sub-5ebe015ae70ab70008895dbd	Yes	1000	within the last 12 months	Credit, debt, or loan	someone took out a gym membership in my name	600	600
sub-5de301515253b03390043d12	No					0	0
sub-5e2b74daae56b71b9d24d89b	No					0	0
sub-607ddc576718114dea38841c	No					0	0
sub-608c451be10e84b9fc005f3e	No				N/A	0	0
sub-645b459067ce8797bc7b4513	No	None 				1200	200
sub-5c78e07f9eabe400126d40be	No					0	0
sub-6389301d2575b8e4c1e7cc5c	Yes	0	2021	Phone, internet, TV service	online banking	0	0
sub-63cbfaf6ab54f6b8d8a054d7	No					0	0
sub-5ec5a705a9b68d5f1f482ce5	No					0	0
sub-614fca8245a450546842e487	No					0	0
sub-5cb34fdb9a26a300017302d8	NA	NA	NA	NA	NA	NA	NA
sub-5c0fcccc1f6f150001487111	No					0	0
sub-6365b83b80397324720dc562	Yes	200.00	5 years ago	Phone, internet, TV service	Someone called to donate to a children's charity and it wasn't real	200.00	0
sub-5f3f5ad05ec7d1257993b196	Yes	3000	July 2021	Other not described	I was tricked into signing a lease without seeing the apartment, which was too uninhabitable to live in.  	3000	0
sub-63b4a880e615d21a58306118	No	na	na		na	0	0
sub-633da98587a07a61250574d4	No					0	0
sub-636694f5d3b82c1a8279cf72	Yes	500	1987	Credit, debt, or loan	Payday loan that wouldn't go away without suing.	500	0
sub-5d6d26703fb106001bed4b6c	No					0	0
sub-5de5538f8fde1c4dbc951498	No					0	0
sub-5e16c978783225c8108ef055	No					0	0
sub-5ed559e5afbd830e2117ed55	No					0	0
sub-5c92870723bd7e001870138e	No					0	0
sub-5ae8d6d79b283d00017ed289	No					0	0
sub-62d3864d8929960c0bd35335	No					0	0
sub-63eb13f36c0fe9ba20d45234	No	0	0		0	$950 a guy wrote checks to me and cashed them as if he was me. I got my money back from the bank though. Our house was also robbed about 10 years ago($5000) had ins. but never recoped much as cash, coins and stuff like that was stolen and the ins did not cover it very well.	0
sub-608f2bae0ee0a74455533e4c	NA	NA	NA	NA	NA	NA	NA
sub-629d16db307da2e64ea7b1e7	No					0	0
sub-595bee9282be5500017ad683	No					0	0
sub-63eb78a1fc614fd7af392873	No			Online shopping		500	300
sub-5b6f49b7d60bdd0001ade437	No					0	0
sub-55b47001fdf99b615b12d66c	No					0	0
sub-59e62b6277860e0001512e14	Yes	400	2020	Credit, debt, or loan	My credit card number was stolen online and used to buy a TV..	600	100
sub-57d0badf28d5250001bdd9d2	No	0	N/A	Other not described	N/A	0	0
sub-5e5ae01d75f13d2efe7db45e	No					0	0
sub-62ff26509176c97c9ceebc2b	No			Credit, debt, or loan		0	0
sub-63d83ae132a2e28694dd8431	No					0	0
sub-5c1061cc7f73e20001186615	No	n/a	n/a	Other not described	n/a- no scams	none	none
sub-615914a33224dc31f1045612	Yes	2300	2022	Other not described	I paid a roofing contractor to fix my roof and he never came back	2300	2300
sub-5c330cefca23620001b262b1	No					0	0
sub-5f24993238b9f80892adf099	Yes	50	2 months ago	An impersonator (fake government, business, love interest, grandchild, etc)	I was trading on giftcardexchange and the person never returned the giftcard, so I lost 50 dollars.	300	50
sub-59278c090220760001fda664	No					1000	200
sub-614e0c53139a2a838010794c	Yes	5000	2020	Other not described	Hacked into my CashApp account and sent money to themselves	5000	0
sub-609122350e5b8e743ab41f79	No					0	0
sub-63ced19b7422296653437e30	Yes	900	3/2/22	Job, investment, or money making opportunity	Email fishing	900	900
sub-60d38bc77bf91667dce30e64	No					1000	0
sub-629642bfde2bf56c1ec2a420	No					0	0
sub-64551d250ef342507eb0edf9	No					none	none
sub-61057d03e42ef519f98f4e6d	No					0	0
sub-6020606d7b0258677b881f63	No					N/A	N/A
sub-60412f7a5f580407f8e6e615	NA	NA	NA	NA	NA	NA	NA
sub-5f6f28ca6df91347f156ad9a	NA	NA	NA	NA	NA	NA	NA
sub-636148b49f7e6e857fde4001	No					0	0
sub-5ec14623eb82d302356805c5	NA	NA	NA	NA	NA	NA	NA
sub-59ea2d5a7f3d71000171e0a9	No					0	0
sub-5f51287698edeb30a0cf878d	NA	NA	NA	NA	NA	NA	NA
sub-5d32bdd9f0689e00195ac2db	No					0	0
sub-5dd31871c5faa232d3c20365	No					0	0
sub-5f87dcb62285ab2277e2d15e	NA	NA	NA	NA	NA	NA	NA
sub-5e064785e297d502d4f2b15f	No					0	0
sub-5858b2ca83a02d0001e38fd2	No					0	0
sub-5cd21eb94174960001cf8aaf	No	0				0	0
sub-5f47fd5a30f69f26b1dc80fd	Yes	1000	Over 10 years ago	Job, investment, or money making opportunity	Invested in silver, money was stolen from me and never invested.	1000	None
sub-61033fc15ac7c1264636395a	No					0	0
sub-5c21923289f03500017369fd	No					0	0
sub-610038371297afd6f2db9323	No					0	0
sub-63f77ab51428a164ec2edbab	No					0	0
sub-5fc880e2e2e6de210e008e1b	No					0	0
sub-63619eb02e5bd8f4f7bd138a	No					0	0
sub-5b824fb6cc06660001a302d4	No					0	0
sub-613d3cb06964f7c524a78ed0	NA	NA	NA	NA	NA	NA	NA
sub-5dcc27974b54778b69e62ec5	No	NA	NA		NA	0	0
sub-5f1e20e5499c5d7c27d24658	NA	NA	NA	NA	NA	NA	NA
sub-60fdf772d2da3179e8c08ad2	NA	NA	NA	NA	NA	NA	NA
sub-5de9938dad51830cad0ea9f9	Yes	700	2 years ago	Other not described	My bitcoin was stolen from me through coinbase	700	0
