Lot_color	dist	percent	value	order
R	wide	0	2	3
R	wide	10	5	3
R	wide	20	5	3
R	wide	30	7	3
R	wide	40	2	3
R	wide	50	2	3
R	wide	60	3	3
R	wide	70	5	3
R	wide	80	4	3
R	wide	90	1	3
R	wide	100	3	3
G	skew	0	0	2
G	skew	10	0	2
G	skew	20	0	2
G	skew	30	0	2
G	skew	40	1	2
G	skew	50	4	2
G	skew	60	5	2
G	skew	70	4	2
G	skew	80	2	2
G	skew	90	1	2
G	skew	100	0	2
B	narrow	0	0	1
B	narrow	10	1	1
B	narrow	20	1	1
B	narrow	30	1	1
B	narrow	40	2	1
B	narrow	50	5	1
B	narrow	60	5	1
B	narrow	70	4	1
B	narrow	80	3	1
B	narrow	90	0	1
B	narrow	100	0	1
