Blocktype	tnum	rt	color	winprob	select	dist	side	response
Risk	0	1765	red	0.5	left	narrow	[""right""]	f
Risk	1	1586	red	0.5	left	narrow	[""right""]	f
Risk	2	4076	red	0.5	right	narrow	[""left""]	j
Risk	3	2038	red	0.6	left	narrow	[""left""]	f
Risk	4	2262	red	0.5	left	narrow	[""right""]	f
Risk	5	2473	red	0.5	left	narrow	[""right""]	f
Risk	6	2939	red	0.7	right	narrow	[""left""]	j
Risk	7	1414	red	0.6	left	narrow	[""left""]	f
Risk	8	2856	red	0.4	left	narrow	[""right""]	f
Risk	9	1461	red	0.5	left	narrow	[""right""]	f
Risk	10	1453	red	0.4	left	narrow	[""right""]	f
Risk	11	1715	red	0.4	right	narrow	[""left""]	j
Risk	12	2829	red	0.5	left	narrow	[""right""]	f
Risk	13	1669	red	0.3	left	narrow	[""right""]	f
Risk	14	2801	red	0.5	left	narrow	[""right""]	f
Risk	15	2593	red	0.3	right	narrow	[""left""]	j
Risk	16	1921	red	0.6	right	narrow	[""right""]	j
Risk	17	1798	red	0.5	right	narrow	[""right""]	j
Risk	18	2309	red	0.5	left	narrow	[""left""]	f
Risk	19	1590	red	0.2	right	narrow	[""left""]	j
Risk	20	835	blue	0.7	left	skew	[""left""]	f
Risk	21	2842	blue	0.7	left	skew	[""left""]	f
Risk	22	1546	blue	0.6000000000000001	right	skew	[""right""]	j
Risk	23	3334	blue	0.7	right	skew	[""right""]	j
Risk	24	910	blue	0.7	right	skew	[""right""]	j
Risk	25	1033	blue	0.6000000000000001	left	skew	[""left""]	f
Risk	26	757	blue	0.7	right	skew	[""right""]	j
Risk	27	1926	blue	0.7	left	skew	[""left""]	f
Risk	28	1048	blue	0.8	right	skew	[""right""]	j
Risk	29	1407	blue	0.8999999999999999	left	skew	[""left""]	f
Risk	30	1453	blue	0.6000000000000001	right	skew	[""right""]	j
Risk	31	952	blue	0.5	left	skew	[""left""]	f
Risk	32	895	blue	0.8	left	skew	[""left""]	f
Risk	33	2300	blue	0.4	right	skew	[""left""]	j
Risk	34	983	blue	0.7	left	skew	[""left""]	f
Risk	35	1385	blue	0.5	left	skew	[""left""]	f
Risk	36	1117	blue	0.7	right	skew	[""right""]	j
Risk	37	641	blue	0.7	right	skew	[""right""]	j
Risk	38	630	blue	0.8	right	skew	[""right""]	j
Risk	39	902	blue	0.7	left	skew	[""left""]	f
Risk	40	2625	green	0.2	left	wide	[""right""]	f
Risk	41	1091	green	0.1	right	wide	[""left""]	j
Risk	42	1032	green	0	left	wide	[""right""]	f
Risk	43	1093	green	0.2	left	wide	[""right""]	f
Risk	44	2078	green	0.1	left	wide	[""right""]	f
Risk	45	1735	green	0	left	wide	[""right""]	f
Risk	46	1413	green	1	right	wide	[""left""]	j
Risk	47	3133	green	0.3	left	wide	[""right""]	f
Risk	48	1213	green	1	left	wide	[""left""]	f
Risk	49	1311	green	0.9	right	wide	[""right""]	j
Risk	50	1048	green	0.8	right	wide	[""right""]	j
Risk	51	1131	green	0.7	right	wide	[""right""]	j
Risk	52	1046	green	1	left	wide	[""left""]	f
Risk	53	1150	green	0.8	left	wide	[""left""]	f
Risk	54	1487	green	0.1	left	wide	[""right""]	f
Risk	55	847	green	0.9	right	wide	[""right""]	j
Risk	56	1277	green	0.9	left	wide	[""left""]	f
Risk	57	1165	green	0	right	wide	[""left""]	j
Risk	58	1094	green	0	left	wide	[""right""]	f
Risk	59	1388	green	0	left	wide	[""right""]	f
